"V1","V2","V3","V4","V5","V6","V7","V8","V9","lon","lat","address"
40031,"TREVISTA","TREVISTA LORONG 3 TOA PAYOH Singapore",12,"Non-landed Properties","3",3700,"1100 to 1200","19-Jun","103.8468073","1.3378033","21-25 lor 3 toa payoh, singapore"
40032,"PALM LODGE","PALM LODGE LORONG 37 GEYLANG Singapore",14,"Non-landed Properties","na*",3100,"1500 to 1600","19-Jun","103.8894782","1.3153819","6 lor 37 geylang, singapore 387904"
40033,"PEBBLE BAY","PEBBLE BAY TANJONG RHU ROAD Singapore",15,"Non-landed Properties","2",5250,"1300 to 1400","19-Jun","103.8717195","1.2976491","130 tanjong rhu road singapore 436918 tg rhu rd, singapore 436918"
40034,"D'ECOSIA","D'ECOSIA STILL ROAD SOUTH Singapore",15,"Non-landed Properties","2",2650,"800 to 900","19-Jun","103.909987","1.306393","29 still rd, 27, singapore"
40035,"BUTTERWORTH 8","BUTTERWORTH 8 BUTTERWORTH LANE Singapore",15,"Non-landed Properties","2",2800,"1000 to 1100","19-Jun","103.8950727","1.3123754","6 butterworth ln, singapore 439422"
40036,"SUNNYVALE RESIDENCES","SUNNYVALE RESIDENCES LORONG K TELOK KURAU Singapore",15,"Non-landed Properties","2",2800,"900 to 1000","19-Jun","103.9150885","1.3137212","132 lor k telok kurau, singapore 425790"
40037,"ONE AMBER","ONE AMBER AMBER GARDENS Singapore",15,"Non-landed Properties","1",2500,"500 to 600","19-Jun","103.8981665","1.3014879","1 amber gardens, singapore 439957"
40038,"THE SHORE RESIDENCES","THE SHORE RESIDENCES AMBER ROAD Singapore",15,"Non-landed Properties","2",3500,"800 to 900","19-Jun","103.9009506","1.3028111","79-89 amber rd, singapore 439893"
40039,"ONE AKYAB","ONE AKYAB AKYAB ROAD Singapore",11,"Non-landed Properties","4",4300,"2300 to 2400","19-Jun","103.8480119","1.3227868","1 akyab rd, singapore 309972"
40040,"TRELLIS TOWERS","TRELLIS TOWERS LORONG 1 TOA PAYOH Singapore",12,"Non-landed Properties","3",4000,"1400 to 1500","19-Jun","103.8436858","1.3302388","700 lor 1 toa payoh, trellis tower, singapore 319773"
40041,"KALLANG RIVERSIDE","KALLANG RIVERSIDE KAMPONG BUGIS Singapore",12,"Non-landed Properties","3",5600,"1400 to 1500","19-Jun","103.8668725","1.3072037","51 kampong bugis, singapore 338986"
40042,"COTE D'AZUR","COTE D'AZUR MARINE PARADE ROAD Singapore",15,"Non-landed Properties","1",2600,"800 to 900","19-Jun","103.9039919","1.3012096","66 marine parade rd, singapore 449301"
40043,"EIGHT RIVERSUITES","EIGHT RIVERSUITES WHAMPOA EAST Singapore",12,"Non-landed Properties","3",3100,"900 to 1000","19-Jun","103.8643805","1.3211839","4 whampoa e, level 3 club house, singapore 338518"
40044,"EAST SIGNATURE","EAST SIGNATURE ELLIOT WALK Singapore",15,"Non-landed Properties","2",2400,"800 to 900","19-Jun","103.9315855","1.3121439","1a elliot walk, singapore 458656"
40045,"CUBE 8","CUBE 8 THOMSON ROAD Singapore",11,"Non-landed Properties","3",4850,"1400 to 1500","19-Jun","103.8413737","1.328105","376 thomson rd, singapore 298130"
40046,"THE POIZ RESIDENCES","THE POIZ RESIDENCES MEYAPPA CHETTIAR ROAD Singapore",13,"Non-landed Properties","3",4000,"1100 to 1200","19-Jun","103.8673334","1.3310579","2 meyappa chettiar rd, singapore 358472"
40047,"WATERBANK AT DAKOTA","WATERBANK AT DAKOTA DAKOTA CRESCENT Singapore",14,"Non-landed Properties","3",4200,"1200 to 1300","19-Jun","103.8880277","1.3067967","72 dakota cres, singapore 399942"
40048,"VILLA MARTIA","VILLA MARTIA MARTIA ROAD Singapore",15,"Non-landed Properties","2",2350,"1000 to 1100","19-Jun","103.9115896","1.3064797","11 martia rd, singapore 424808"
40049,"SEVENTY SAINT PATRICK'S","SEVENTY SAINT PATRICK'S ST. PATRICK'S ROAD Singapore",15,"Non-landed Properties","3",3300,"1000 to 1100","19-Jun","103.9152417","1.3078874","70 st patrick's rd, singapore 424175"
40050,"THE ESTA","THE ESTA AMBER GARDENS Singapore",15,"Non-landed Properties","2",3600,"1000 to 1100","19-Jun","103.900035","1.3019743","31 33 35 37, 39 amber gardens, singapore 439968"
40051,"EUHABITAT","EUHABITAT JALAN EUNOS Singapore",14,"Non-landed Properties","2",2800,"1000 to 1100","19-Jun","103.9065485","1.3279129","212 jln. eunos, singapore 419537"
40052,"TRELLIS TOWERS","TRELLIS TOWERS LORONG 1 TOA PAYOH Singapore",12,"Non-landed Properties","2",2500,"700 to 800","19-Jun","103.8436858","1.3302388","700 lor 1 toa payoh, trellis tower, singapore 319773"
40053,"THE COTZ","THE COTZ TELOK KURAU ROAD Singapore",15,"Non-landed Properties","na*",1500,"300 to 400","19-Jun","103.9107503","1.3132803","171 telok kurau rd, singapore 423824"
40054,"URBAN HERITAGE","URBAN HERITAGE BALESTIER ROAD Singapore",12,"Non-landed Properties","2",2100,"500 to 600","19-Jun","103.853358","1.3217151","238 balestier rd, singapore 329701"
40055,"TROPIKA EAST","TROPIKA EAST FOO KIM LIN ROAD Singapore",14,"Non-landed Properties","1",2300,"800 to 900","19-Jun","103.9069939","1.3288723","3 foo kim lin rd, singapore 419679"
40056,"THE SUNNY SPRING","THE SUNNY SPRING LORONG 40 GEYLANG Singapore",14,"Non-landed Properties","3",2900,"1100 to 1200","19-Jun","103.8895007","1.3125611","50 lor 40 geylang, singapore 398074"
40057,"WATERBANK AT DAKOTA","WATERBANK AT DAKOTA DAKOTA CRESCENT Singapore",14,"Non-landed Properties","3",4600,"1100 to 1200","19-Jun","103.8880277","1.3067967","72 dakota cres, singapore 399942"
40058,"CASA AERATA","CASA AERATA LORONG 26 GEYLANG Singapore",14,"Non-landed Properties","2",2000,"400 to 500","19-Jun","103.88505","1.3123392","9 lor 26 geylang, singapore 398484"
40059,"MANDALE HEIGHTS","MANDALE HEIGHTS MANDALAY ROAD Singapore",11,"Non-landed Properties","2",2600,"800 to 900","19-Jun","103.8498002","1.3241028","45 mandalay rd, singapore 308225"
40060,"SIMSVILLE","SIMSVILLE GEYLANG EAST AVENUE 2 Singapore",14,"Non-landed Properties","2",2600,"900 to 1000","19-Jun","103.8887681","1.3169451","6 geylang east ave 2, singapore 389756"
40061,"THE LINE @ TANJONG RHU","THE LINE @ TANJONG RHU TANJONG RHU ROAD Singapore",15,"Non-landed Properties","3",6600,"2800 to 2900","19-Jun","103.8846032","1.2981006","6 tanjong rhu rd singapore 436883 tg rhu rd, singapore 436883"
40062,"NEWTON 18","NEWTON 18 NEWTON ROAD Singapore",11,"Non-landed Properties","2",3650,"900 to 1000","19-Jun","103.8412283","1.3144162","18 newton rd, singapore 307989"
40063,"THE MAKENA","THE MAKENA MEYER ROAD Singapore",15,"Non-landed Properties","3",3650,"1600 to 1700","19-Jun","103.894397","1.2972758","437934 meyer road, meyer rd, singapore 437934"
40064,"THE WATERSIDE","THE WATERSIDE TANJONG RHU ROAD Singapore",15,"Non-landed Properties","na*",5823,"2100 to 2200","19-Jun","103.883641","1.296695","13, tg rhu rd, #01-03, singapore 436897"
40065,"ADVANCE APARTMENTS","ADVANCE APARTMENTS LORONG 25A GEYLANG Singapore",14,"Non-landed Properties","na*",3700,"1700 to 1800","19-Jun","103.883281","1.313961","8 lor 25a geylang, singapore 388222"
40066,"LOTUS AT PAYA LEBAR","LOTUS AT PAYA LEBAR PAYA LEBAR ROAD Singapore",14,"Non-landed Properties","2",3300,"800 to 900","19-Jun","103.8913118","1.3156116","17 lor 41 geylang, singapore 387828"
40067,"NOVELIS","NOVELIS SINARAN DRIVE Singapore",11,"Non-landed Properties","1",2500,"500 to 600","19-Jun","103.8458998","1.3188705","75 sinaran dr, singapore 308322"
40068,"PARK EAST","PARK EAST JALAN TUA KONG Singapore",15,"Non-landed Properties","3",2600,"1200 to 1300","19-Jun","103.9250261","1.3180564","69 - 73 jln tua kong, singapore 457266"
40069,"THE ARTE","THE ARTE JALAN RAJA UDANG Singapore",12,"Non-landed Properties","4",4900,"1800 to 1900","19-Jun","103.8424637","1.3284499","21 jln raja udang, singapore 329215"
40070,"SOLEIL @ SINARAN","SOLEIL @ SINARAN SINARAN DRIVE Singapore",11,"Non-landed Properties","2",5500,"900 to 1000","19-Jun","103.8453222","1.3194273","sinaran dr, singapore"
40071,"SUITES@CHANGI","SUITES@CHANGI CHANGI ROAD Singapore",14,"Non-landed Properties","na*",1700,"400 to 500","19-Jun","103.9046245","1.3170478","226 changi rd, singapore 419740"
40072,"SIGLAP V","SIGLAP V FIRST STREET Singapore",15,"Non-landed Properties","2",2600,"900 to 1000","19-Jun","103.9237342","1.3128468","2 first st, siglap v, singapore 458278"
40073,"VIBES @ EAST COAST","VIBES @ EAST COAST TELOK KURAU ROAD Singapore",15,"Non-landed Properties","1",1700,"300 to 400","19-Jun","103.9117599","1.3094781","308 telok kurau rd, singapore 423858"
40074,"VILLA MARINA","VILLA MARINA JALAN SEMPADAN Singapore",15,"Non-landed Properties","3",2900,"1100 to 1200","19-Jun","103.9271909","1.3100522","35 jln sempadan, singapore 457405"
40075,"VISTA RESIDENCES","VISTA RESIDENCES JALAN DATOH Singapore",12,"Non-landed Properties","2",3000,"900 to 1000","19-Jun","103.8432724","1.3284349","26-28 jln datoh, singapore 329425"
40076,"SUNSHINE LOFT","SUNSHINE LOFT LORONG L TELOK KURAU Singapore",15,"Non-landed Properties","2",1850,"700 to 800","19-Jun","103.9118591","1.3119655","lor l telok kurau, singapore"
40077,"KATONG REGENCY","KATONG REGENCY TANJONG KATONG ROAD Singapore",15,"Non-landed Properties","1",2500,"500 to 600","19-Jun","103.8946407","1.3147403","13 tanjong katong rd, 17, singapore 436952"
40078,"SUITES @ EASTCOAST","SUITES @ EASTCOAST UPPER EAST COAST ROAD Singapore",15,"Non-landed Properties","2",1950,"500 to 600","19-Jun","103.9324425","1.3145089","171 upper east coast rd, singapore 455277"
40079,"IRIDIUM","IRIDIUM LINCOLN ROAD Singapore",11,"Non-landed Properties","3",3000,"1000 to 1100","19-Jun","103.8426486","1.3151418","11 lincoln rd, singapore 308349"
40080,"SIMS EDGE","SIMS EDGE GEYLANG EAST AVENUE 2 Singapore",14,"Non-landed Properties","2",2100,"500 to 600","19-Jun","103.8879365","1.3163875","1 geylang east ave 2, singapore 389760"
40081,"THE BELLEFORTE","THE BELLEFORTE AH HOOD ROAD Singapore",12,"Non-landed Properties","3",3100,"1300 to 1400","19-Jun","103.8447827","1.3272646","6 ah hood rd, singapore 329974"
40082,"TRELLIS TOWERS","TRELLIS TOWERS LORONG 1 TOA PAYOH Singapore",12,"Non-landed Properties","1",2000,"500 to 600","19-Jun","103.8436858","1.3302388","700 lor 1 toa payoh, trellis tower, singapore 319773"
40083,"KATONG GARDENS","KATONG GARDENS TEMBELING ROAD Singapore",15,"Non-landed Properties","na*",3250,"1200 to 1300","19-Jun","103.9051995","1.3085946","235, 239 tembeling rd, 239, singapore 423723"
40084,"OLEANDER TOWERS","OLEANDER TOWERS LORONG 1 TOA PAYOH Singapore",12,"Non-landed Properties","4",3900,"1400 to 1500","19-Jun","103.8439982","1.3332034","lor 1 toa payoh, singapore"
40085,"REGENT RESIDENCES","REGENT RESIDENCES SERANGOON ROAD Singapore",12,"Non-landed Properties","2",2300,"600 to 700","19-Jun","103.8646791","1.3242673","1091 serangoon rd, singapore 328190"
40086,"ONE AMBER","ONE AMBER AMBER GARDENS Singapore",15,"Non-landed Properties","3",4200,"1300 to 1400","19-Jun","103.8981665","1.3014879","1 amber gardens, singapore 439957"
40087,"PARC BLEU","PARC BLEU JOO CHIAT PLACE Singapore",15,"Non-landed Properties","1",1700,"400 to 500","19-Jun","103.9074346","1.3143461","262 joo chiat pl, singapore 428011"
40088,"CRESCENDO BUILDING","CRESCENDO BUILDING UPPER EAST COAST ROAD Singapore",15,"Non-landed Properties","3",2600,"1300 to 1400","19-Jun","103.9265416","1.3130796","17 - 35 upper east coast rd, singapore 455294"
40089,"CASUARINA COVE","CASUARINA COVE TANJONG RHU ROAD Singapore",15,"Non-landed Properties","2",3800,"1300 to 1400","19-Jun","103.8746984","1.2975787","120 tg rhu rd, singapore 436916"
40090,"REGAL COURT","REGAL COURT KIM KEAT ROAD Singapore",12,"Non-landed Properties","2",2200,"900 to 1000","19-Jun","103.852987","1.3245448","17 kim keat rd, singapore 328837"
40091,"SIMSVILLE","SIMSVILLE GEYLANG EAST AVENUE 2 Singapore",14,"Non-landed Properties","2",2800,"900 to 1000","19-Jun","103.8887681","1.3169451","6 geylang east ave 2, singapore 389756"
40092,"TEMBELING COURT","TEMBELING COURT TEMBELING ROAD Singapore",15,"Non-landed Properties","3",3000,"1300 to 1400","19-Jun","103.9028207","1.3104906","tembeling rd, singapore"
40093,"THE VENUE RESIDENCES","THE VENUE RESIDENCES TAI THONG CRESCENT Singapore",13,"Non-landed Properties","2",3100,"800 to 900","19-Jun","103.8695664","1.3286027","2 tai thong cres, singapore 347836"
40094,"26 NEWTON","26 NEWTON NEWTON ROAD Singapore",11,"Non-landed Properties","2",3300,"700 to 800","19-Jun","103.8415977","1.3156897","26 newton rd, singapore 307957"
40095,"D'WEAVE","D'WEAVE LORONG 39 GEYLANG Singapore",14,"Non-landed Properties","1",1700,"400 to 500","19-Jun","103.8905714","1.3156618","5 lor 39 geylang, singapore 387866"
40096,"THE POIZ RESIDENCES","THE POIZ RESIDENCES MEYAPPA CHETTIAR ROAD Singapore",13,"Non-landed Properties","3",4000,"1100 to 1200","19-Jun","103.8673334","1.3310579","2 meyappa chettiar rd, singapore 358472"
40097,"THE ARISTO @ AMBER","THE ARISTO @ AMBER AMBER ROAD Singapore",15,"Non-landed Properties","2",4500,"800 to 900","19-Jun","103.9007","1.300382","23 amber rd, singapore 439871"
40098,"ROXY SQUARE","ROXY SQUARE EAST COAST ROAD Singapore",15,"Non-landed Properties","2",2400,"1200 to 1300","19-Jun","103.9043811","1.3039864","50 e coast rd, singapore 428769"
40099,"OKIO","OKIO BALESTIER ROAD Singapore",12,"Non-landed Properties","1",2000,"400 to 500","19-Jun","103.8532328","1.3220688","262 balestier rd, singapore 329714"
40100,"16 @ AMBER","16 @ AMBER AMBER ROAD Singapore",15,"Non-landed Properties","1",1900,"400 to 500","19-Jun","103.898841","1.299536","16 amber rd, singapore 439866"
40101,"THE TRUMPS","THE TRUMPS JALAN KEMBANGAN Singapore",14,"Non-landed Properties","2",3200,"900 to 1000","19-Jun","103.9134471","1.3200572","1 jln kembangan, singapore 419154"
40102,"THE SHORE RESIDENCES","THE SHORE RESIDENCES AMBER ROAD Singapore",15,"Non-landed Properties","2",3700,"800 to 900","19-Jun","103.9009506","1.3028111","79-89 amber rd, singapore 439893"
40103,"THE BELVEDERE","THE BELVEDERE MEYER ROAD Singapore",15,"Non-landed Properties","3",3800,"1200 to 1300","19-Jun","103.8875965","1.2971092","51 meyer rd, singapore 437874"
40104,"CENTRA STUDIOS","CENTRA STUDIOS LORONG 25 GEYLANG Singapore",14,"Non-landed Properties","1",1680,"300 to 400","19-Jun","103.882336","1.3144638","25 lor 25 geylang, singapore 388302"
40105,"KATONG REGENCY","KATONG REGENCY TANJONG KATONG ROAD Singapore",15,"Non-landed Properties","1",2800,"600 to 700","19-Jun","103.8946407","1.3147403","13 tanjong katong rd, 17, singapore 436952"
40106,"THE SEA VIEW","THE SEA VIEW AMBER ROAD Singapore",15,"Non-landed Properties","1",2300,"500 to 600","19-Jun","103.9013088","1.3015993","41 amber rd, singapore 439948"
40107,"COTE D'AZUR","COTE D'AZUR MARINE PARADE ROAD Singapore",15,"Non-landed Properties","2",4000,"1100 to 1200","19-Jun","103.9039919","1.3012096","66 marine parade rd, singapore 449301"
40108,"ESPIRA SUITES","ESPIRA SUITES LORONG G TELOK KURAU Singapore",15,"Non-landed Properties","1",1750,"400 to 500","19-Jun","103.9126151","1.3173623","92 lor g telok kurau, singapore 426283"
40109,"SOLEIL @ SINARAN","SOLEIL @ SINARAN SINARAN DRIVE Singapore",11,"Non-landed Properties","2",5800,"1400 to 1500","19-Jun","103.8453222","1.3194273","sinaran dr, singapore"
40110,"THE ATRIA AT MEYER","THE ATRIA AT MEYER MEYER ROAD Singapore",15,"Non-landed Properties","na*",2900,"1000 to 1100","19-Jun","103.889236","1.296797","the atria at meyer, 61 meyer road (s)437885, singapore 437885"
40111,"CASA AERATA","CASA AERATA LORONG 26 GEYLANG Singapore",14,"Non-landed Properties","1",1700,"400 to 500","19-Jun","103.88505","1.3123392","9 lor 26 geylang, singapore 398484"
40112,"CORALIS","CORALIS JOO CHIAT ROAD Singapore",15,"Non-landed Properties","na*",2300,"400 to 500","19-Jun","103.905792","1.3045739","530 joo chiat rd, singapore 427710"
40113,"SUITES@CHANGI","SUITES@CHANGI CHANGI ROAD Singapore",14,"Non-landed Properties","1",1300,"400 to 500","19-Jun","103.9046245","1.3170478","226 changi rd, singapore 419740"
40114,"CUBE 8","CUBE 8 THOMSON ROAD Singapore",11,"Non-landed Properties","1",2450,"500 to 600","19-Jun","103.8413737","1.328105","376 thomson rd, singapore 298130"
40115,"NON-LANDED HOUSING DEVELOPMENT","NON-LANDED HOUSING DEVELOPMENT GILSTEAD ROAD Singapore",11,"Non-landed Properties","2",1400,"1000 to 1100","19-Jun","103.8388651","1.317167","gilstead rd, singapore"
40116,"REZI 26","REZI 26 LORONG 26 GEYLANG Singapore",14,"Non-landed Properties","1",1750,"400 to 500","19-Jun","103.885148","1.312971","5 lor 26 geylang, singapore 398504"
40117,"VIVA","VIVA SUFFOLK WALK Singapore",11,"Non-landed Properties","3",7050,"1300 to 1400","19-Jun","103.8444569","1.3154808","2, 4, 6, 8 suffolk walk, singapore 307463"
40118,"THE CALLISTA","THE CALLISTA MAR THOMA ROAD Singapore",12,"Non-landed Properties","3",2500,"1300 to 1400","19-Jun","103.8628863","1.3276149","22 mar thoma rd, singapore 328702"
40119,"RIVERBAY","RIVERBAY MAR THOMA ROAD Singapore",12,"Non-landed Properties","1",1650,"300 to 400","19-Jun","103.8626677","1.3280813","23 mar thoma rd, singapore 328704"
40120,"LOTUS AT JOO CHIAT","LOTUS AT JOO CHIAT JOO CHIAT PLACE Singapore",15,"Non-landed Properties","3",7700,"2700 to 2800","19-Jun","103.9020208","1.313928","11 everitt rd, singapore 427806"
40121,"CENTRA SUITES","CENTRA SUITES LORONG 25A GEYLANG Singapore",14,"Non-landed Properties","1",1800,"400 to 500","19-Jun","103.883257","1.3147045","38 lor 25a geylang, singapore 388242"
40122,"THE LINE @ TANJONG RHU","THE LINE @ TANJONG RHU TANJONG RHU ROAD Singapore",15,"Non-landed Properties","3",3800,"1100 to 1200","19-Jun","103.8846032","1.2981006","6 tanjong rhu rd singapore 436883 tg rhu rd, singapore 436883"
40123,"THE ESTA","THE ESTA AMBER GARDENS Singapore",15,"Non-landed Properties","2",3500,"1100 to 1200","19-Jun","103.900035","1.3019743","31 33 35 37, 39 amber gardens, singapore 439968"
40124,"THE CALLISTA","THE CALLISTA MAR THOMA ROAD Singapore",12,"Non-landed Properties","3",2900,"1100 to 1200","19-Jun","103.8628863","1.3276149","22 mar thoma rd, singapore 328702"
40125,"PARK INFINIA AT WEE NAM","PARK INFINIA AT WEE NAM LINCOLN ROAD Singapore",11,"Non-landed Properties","2",4550,"1000 to 1100","19-Jun","103.8431335","1.3140333","4 lincoln rd, singapore 308343"
40126,"THE SEA VIEW","THE SEA VIEW AMBER ROAD Singapore",15,"Non-landed Properties","3",4500,"1200 to 1300","19-Jun","103.9013088","1.3015993","41 amber rd, singapore 439948"
40127,"ST PATRICK'S RESIDENCES","ST PATRICK'S RESIDENCES ST. PATRICK'S ROAD Singapore",15,"Non-landed Properties","4",5700,"2200 to 2300","19-Jun","103.9145701","1.3083972","60 st patrick's rd, singapore 423467"
40128,"CITY REGENCY","CITY REGENCY ST. MICHAEL'S ROAD Singapore",12,"Non-landed Properties","2",2600,"800 to 900","19-Jun","103.8636353","1.3262215","18 st michael's rd, singapore 327977"
40129,"SEVENTY SAINT PATRICK'S","SEVENTY SAINT PATRICK'S ST. PATRICK'S ROAD Singapore",15,"Non-landed Properties","4",4600,"1400 to 1500","19-Jun","103.9152417","1.3078874","70 st patrick's rd, singapore 424175"
40130,"EVELYN MANSIONS","EVELYN MANSIONS EVELYN ROAD Singapore",11,"Non-landed Properties","2",2750,"800 to 900","19-Jun","103.8394368","1.3155965","13 15&17evelyn road, singapore 309311"
40131,"SKY GREEN","SKY GREEN MACPHERSON ROAD Singapore",13,"Non-landed Properties","2",2600,"700 to 800","19-Jun","103.886324","1.3326039","568 macpherson rd, singapore 368236"
40132,"NON-LANDED HOUSING DEVELOPMENT","NON-LANDED HOUSING DEVELOPMENT GILSTEAD ROAD Singapore",11,"Non-landed Properties","2",1100,"1000 to 1100","19-Jun","103.8388651","1.317167","gilstead rd, singapore"
40133,"THE BELVEDERE","THE BELVEDERE MEYER ROAD Singapore",15,"Non-landed Properties","3",4300,"1300 to 1400","19-Jun","103.8875965","1.2971092","51 meyer rd, singapore 437874"
40134,"PARK INFINIA AT WEE NAM","PARK INFINIA AT WEE NAM LINCOLN ROAD Singapore",11,"Non-landed Properties","2",5300,"800 to 900","19-Jun","103.8431335","1.3140333","4 lincoln rd, singapore 308343"
40135,"8 BASSEIN","8 BASSEIN BASSEIN ROAD Singapore",11,"Non-landed Properties","1",1800,"400 to 500","19-Jun","103.8480518","1.3234664","8 bassein rd, singapore 309838"
40136,"THE FOREST BY WANGZ","THE FOREST BY WANGZ MOULMEIN ROAD Singapore",11,"Non-landed Properties","na*",98000,">3000","19-Jun","103.8476863","1.3185349","145a moulmein rd, singapore 308108"
40137,"VIENTO","VIENTO LORONG 30 GEYLANG Singapore",14,"Non-landed Properties","1",1700,"400 to 500","19-Jun","103.8865152","1.3124004","29 lor 30 geylang, singapore 398362"
40138,"THE INTERWEAVE","THE INTERWEAVE KIM KEAT ROAD Singapore",12,"Non-landed Properties","2",2200,"600 to 700","19-Jun","103.8532858","1.3254206","21 kim keat rd, singapore 328805"
40139,"THE BELVEDERE","THE BELVEDERE MEYER ROAD Singapore",15,"Non-landed Properties","3",3900,"1300 to 1400","19-Jun","103.8875965","1.2971092","51 meyer rd, singapore 437874"
40140,"THE CAPE","THE CAPE AMBER ROAD Singapore",15,"Non-landed Properties","1",2900,"600 to 700","19-Jun","103.901251","1.300646","25 amber rd, singapore 439872"
40141,"THE MEZZO","THE MEZZO BALESTIER ROAD Singapore",12,"Non-landed Properties","1",2000,"500 to 600","19-Jun","103.8525071","1.3205687","205 balestier rd, singapore 329682"
40142,"QUESTA @ DUNMAN","QUESTA @ DUNMAN DUNMAN ROAD Singapore",15,"Non-landed Properties","1",1900,"400 to 500","19-Jun","103.8966309","1.3098215","543 dunman rd, singapore 439219"
40143,"10 SHELFORD","10 SHELFORD SHELFORD ROAD Singapore",11,"Non-landed Properties","1",2200,"400 to 500","19-Jun","103.812499","1.3259095","10 shelford rd, singapore 288353"
40144,"DE CENTURION","DE CENTURION TANJONG RHU ROAD Singapore",15,"Non-landed Properties","2",2300,"700 to 800","19-Jun","103.8842389","1.298823","6a tg rhu rd, singapore 436884"
40145,"GUILLEMARD EDGE","GUILLEMARD EDGE LORONG 30 GEYLANG Singapore",14,"Non-landed Properties","1",1900,"800 to 900","19-Jun","103.8861671","1.3118382","38 lor 30 geylang, singapore 398371"
40146,"SUITES @ SIMS","SUITES @ SIMS SIMS AVENUE Singapore",14,"Non-landed Properties","1",1800,"300 to 400","19-Jun","103.8838203","1.3151489","302 sims ave, singapore 387516"
40147,"CUBE 8","CUBE 8 THOMSON ROAD Singapore",11,"Non-landed Properties","2",3400,"900 to 1000","19-Jun","103.8413737","1.328105","376 thomson rd, singapore 298130"
