"V1","V2","V3","V4","V5","V6","V7","V8","V9","lon","lat","address"
40012,"26 NEWTON","26 NEWTON NEWTON ROAD Singapore",11,"Non-landed Properties","2",3000,"500 to 600","19-Jun","103.8415977","1.3156897","26 newton rd, singapore 307957"
40013,"NON-LANDED HOUSING DEVELOPMENT","NON-LANDED HOUSING DEVELOPMENT GEYLANG ROAD Singapore",14,"Non-landed Properties","na*",2300,"700 to 800","19-Jun","103.8917746","1.3200544","geylang, singapore"
40014,"THE SEA VIEW","THE SEA VIEW AMBER ROAD Singapore",15,"Non-landed Properties","3",4800,"1400 to 1500","19-Jun","103.9013088","1.3015993","41 amber rd, singapore 439948"
40015,"ROSEVALE","ROSEVALE LINCOLN ROAD Singapore",11,"Non-landed Properties","4",7794,"2700 to 2800","19-Jun","103.8433569","1.3160596","32 lincoln rd, singapore 308362"
40016,"THE ARISTO @ AMBER","THE ARISTO @ AMBER AMBER ROAD Singapore",15,"Non-landed Properties","2",3650,"800 to 900","19-Jun","103.9007","1.300382","23 amber rd, singapore 439871"
40017,"THE SHORE RESIDENCES","THE SHORE RESIDENCES AMBER ROAD Singapore",15,"Non-landed Properties","1",2600,"500 to 600","19-Jun","103.9009506","1.3028111","79-89 amber rd, singapore 439893"
40018,"KATONG REGENCY","KATONG REGENCY TANJONG KATONG ROAD Singapore",15,"Non-landed Properties","2",3500,"900 to 1000","19-Jun","103.8946407","1.3147403","13 tanjong katong rd, 17, singapore 436952"
40019,"THE VERVE","THE VERVE JALAN RAJAH Singapore",12,"Non-landed Properties","1",2100,"600 to 700","19-Jun","103.848057","1.327699","23 jln rajah, singapore 329138"
40020,"ONE AMBER","ONE AMBER AMBER GARDENS Singapore",15,"Non-landed Properties","3",3800,"1300 to 1400","19-Jun","103.8981665","1.3014879","1 amber gardens, singapore 439957"
40021,"TANJONG RIA CONDOMINIUM","TANJONG RIA CONDOMINIUM TANJONG RHU ROAD Singapore",15,"Non-landed Properties","2",2300,"800 to 900","19-Jun","103.8745815","1.2968309","121 tg rhu rd, singapore 436914"
40022,"MALVERN SPRINGS","MALVERN SPRINGS ONAN ROAD Singapore",15,"Non-landed Properties","3",4050,"1300 to 1400","19-Jun","103.9038464","1.3060073","373 onan rd, singapore 424775"
40023,"AMBER POINT","AMBER POINT AMBER ROAD Singapore",15,"Non-landed Properties","na*",3700,"1600 to 1700","19-Jun","103.898466","1.2988965","1 amber rd, singapore 439845"
40024,"THE SHORE RESIDENCES","THE SHORE RESIDENCES AMBER ROAD Singapore",15,"Non-landed Properties","2",3800,"900 to 1000","19-Jun","103.9009506","1.3028111","79-89 amber rd, singapore 439893"
40025,"MONTEBLEU","MONTEBLEU MINBU ROAD Singapore",11,"Non-landed Properties","2",3000,"800 to 900","19-Jun","103.8499054","1.3235773","8 minbu rd, singapore 308162"
40026,"NATURALIS","NATURALIS LORONG M TELOK KURAU Singapore",15,"Non-landed Properties","1",1850,"500 to 600","19-Jun","103.9083629","1.3098402","2 lor m telok kurau, singapore 425279"
40027,"NON-LANDED HOUSING DEVELOPMENT","NON-LANDED HOUSING DEVELOPMENT CHANGI ROAD Singapore",14,"Non-landed Properties","na*",2650,"1500 to 1600","19-Jun","103.9085841","1.3182725","changi rd, singapore"
40028,"GLOUCESTER MANSIONS","GLOUCESTER MANSIONS NEWTON ROAD Singapore",11,"Non-landed Properties","3",3500,"1100 to 1200","19-Jun","103.8403625","1.3138856","10 newton rd, singapore 307947"
40029,"THE WATERSIDE","THE WATERSIDE TANJONG RHU ROAD Singapore",15,"Non-landed Properties","na*",5200,"2100 to 2200","19-Jun","103.883641","1.296695","13, tg rhu rd, #01-03, singapore 436897"
40030,"RESIDENCES @ EVELYN","RESIDENCES @ EVELYN EVELYN ROAD Singapore",11,"Non-landed Properties","3",6000,"1500 to 1600","19-Jun","103.8394368","1.3155965","13 15&17evelyn road, singapore 309311"
