Name,Postal District,"25th
Percentile",Median,"75th
Percentile",
CANBERRA RESIDENCES,27,24.68,26.88,29.11,
CAPE ROYALE,4,41.81,45.00,48.07,
CARABELLE,5,26.78,32.62,33.74,
CARDIFF RESIDENCE,19,39.29,42.31,44.74,
CARIBBEAN AT KEPPEL BAY,4,46.15,48.16,51.82,
CARISSA PARK CONDO,17,20.83,21.91,23.30,
CASA CAMBIO,19,35.00,41.21,43.48,
CASA FORTUNA,12,29.90,34.85,42.55,
CASA MERAH,16,28.58,30.22,31.52,
CASABLANCA,25,23.53,25.23,26.73,
CASHEW HEIGHTS CONDO,23,18.04,19.01,20.91,
CASPIAN,22,29.46,31.03,33.33,
CASTLE GREEN,26,23.90,25.64,26.69,
CENTRAL GREEN CONDO,3,33.33,35.42,37.50,
CENTRAL GROVE,14,28.32,30.18,30.97,
CENTRO RESIDENCES,20,36.93,38.83,43.01,
CHANGI COURT,16,23.15,24.44,26.26,
CHANGI GREEN,16,21.68,23.66,25.93,
CHANGI RISE CONDO,18,23.80,24.56,25.46,
CHILTERN PARK,19,25.42,26.27,29.31,
CHUAN PARK,19,21.68,27.97,36.38,
CITY GATE,7,33.33,43.23,61.54,
CITY SQUARE RESIDENCES,8,35.14,37.70,41.03,
CITYLIGHTS,8,44.19,47.62,50.79,
CITYSCAPE @FARRER PARK,8,29.90,31.13,32.61,
CLEMENTI PARK,21,22.93,23.81,28.50,
CLEMENTIWOODS CONDO,5,30.54,32.51,39.17,
CLOVER BY THE PARK,20,28.75,29.78,30.85,
COCO PALMS,18,32.90,34.53,40.70,
COMMONWEALTH TOWERS,3,50.00,56.46,60.72,
COMPASS HEIGHTS,19,24.18,26.32,27.47,
CONCOURSE SKYLINE,7,44.88,46.99,49.76,
CORALIS,15,35.71,39.06,47.83,
CORALS AT KEPPEL BAY,4,48.35,52.22,55.56,
COSTA DEL SOL,16,31.87,33.21,35.37,
COSTA RHU,15,29.09,30.43,33.33,
COTE D'AZUR,15,32.43,33.66,36.84,
CRADELS,12,38.89,44.19,48.78,
CUBE 8,11,34.49,34.88,46.93,
CUSCADEN RESIDENCES,10,40.18,45.54,49.55,
CYAN,10,42.00,44.49,46.70,
D'LEEDON,10,38.21,42.12,47.46,
D'NEST,18,28.26,31.69,37.78,
DAHLIA PARK CONDO,17,20.09,21.65,22.34,
DAKOTA RESIDENCES,14,35.29,37.06,40.83,
DOMAIN 21,3,42.10,44.74,46.87,
DOMUS,12,34.52,39.11,50.00,
DOUBLE BAY RESIDENCES,18,28.74,29.92,33.07,
DOVER PARKVIEW,5,30.75,32.22,33.98,
DRAYCOTT EIGHT,10,50.42,54.39,59.63,
DUCHESS CREST,10,31.20,31.87,36.12,
DUCHESS RESIDENCES,10,33.73,35.76,39.34,
DUO RESIDENCES,7,56.25,60.77,67.00,
EAST MEADOWS,16,26.13,27.64,28.44,
EASTERN LAGOON,15,26.37,28.62,31.08,
EASTPOINT GREEN,18,24.44,25.69,26.97,
ECHELON,3,44.09,47.41,52.21,
ECO,16,32.09,34.31,37.25,
ECO SANCTUARY,23,29.03,30.77,33.87,
EDELWEISS PARK CONDO,17,22.12,23.15,25.13,
EIGHT COURTYARDS,27,24.94,27.11,28.91,
EIGHT RIVERSUITES,12,38.46,41.54,48.78,
ELIAS GREEN,18,15.97,16.67,16.90,
EMERALD GARDEN,1,38.46,40.50,42.86,
EMERALD PARK,3,32.58,33.49,35.90,
EON SHENTON,2,55.83,60.00,67.00,
ESPADA,9,61.33,70.45,73.55,
ESTELLA GARDENS,17,19.17,20.77,23.13,
EUHABITAT,14,33.06,36.73,40.00,
EURO-ASIA PARK,13,21.83,23.48,25.00,
EVERGREEN PARK,19,21.21,22.16,23.23,
FAR HORIZON GARDENS,20,20.07,21.13,22.30,
FERNWOOD TOWERS,15,19.61,20.56,20.92,
FERRARIA PARK CONDO,17,21.11,22.62,23.86,
FLAMINGO VALLEY,15,30.28,33.52,35.66,
FLO RESIDENCE,19,25.53,26.60,28.08,
FLORIDIAN,21,36.86,38.41,40.07,
FORESQUE RESIDENCES,23,25.71,28.99,33.82,
FORTE SUITES,8,44.64,47.62,52.44,
FOUR SEASONS PARK,10,40.95,41.43,43.45,
FULCRUM,15,45.65,48.02,50.00,
GALLOP GABLES,10,34.21,36.42,39.92,
GARDENVISTA,21,35.64,36.32,36.84,
GILSTEAD TWO,11,43.15,44.44,45.83,
GLENDALE PARK,23,23.01,24.74,25.86,
GOLDENHILL PARK CONDO,20,31.88,34.07,35.40,
GOODLUCK GARDEN,21,17.21,18.81,21.95,
GOODWOOD RESIDENCE,10,41.82,47.12,50.55,
GRAMERCY PARK,10,46.61,52.17,55.08,
GRANDEUR 8,20,26.94,27.72,28.78,
GUILIN VIEW,23,23.11,24.35,26.25,
GUILLEMARD EDGE,14,42.31,44.64,46.34,
GUILLEMARD SUITES,14,38.10,42.95,49.17,
H2O RESIDENCES,28,25.00,27.49,28.57,
HAIG COURT,15,27.27,28.85,30.30,
HARBOUR VIEW TOWERS,4,28.57,32.59,35.71,
HARBOURLIGHTS,4,32.76,33.53,36.76,
HAZEL PARK CONDO,23,18.84,20.83,23.33,
HEDGES PARK CONDO,6,25.35,27.46,36.67,
HERITAGE VIEW,5,35.71,37.84,40.74,
HIGHLINE RESIDENCES,3,56.14,65.33,71.12,
HILLBROOKS,23,21.00,23.88,25.61,
HILLION RESIDENCES,23,36.36,40.91,44.19,
HILLSTA,23,28.21,32.63,34.80,
HILLTOPS,9,62.89,66.00,79.33,
HILLVIEW GREEN,21,20.66,21.59,22.83,
HILLVIEW HEIGHTS,23,21.52,23.91,24.89,
HILLVIEW PARK,23,21.93,26.32,26.67,
HILLVIEW REGENCY,23,24.75,25.86,27.16,
HOLLAND PEAK,10,25.30,27.46,29.43,
HORIZON TOWERS,9,26.62,28.64,29.75,
HUME PARK I,21,18.37,20.34,23.53,
HUME PARK II,21,19.88,22.59,23.48,
HUNDRED TREES,5,31.58,32.86,38.01,
ICON,2,55.00,59.48,62.75,
INTERNATIONAL PLAZA,2,31.16,35.33,38.26,
J GATEWAY,22,46.38,52.17,55.32,
JEWEL @ BUANGKOK,19,30.56,32.10,35.56,
KALLANG RIVERSIDE,12,44.68,48.45,52.69,
KAP RESIDENCES,21,39.06,41.94,44.44,
KATONG REGENCY,15,37.98,43.40,48.04,
KENSINGTON SQUARE,19,26.19,32.47,36.84,
KENTISH GREEN,8,27.71,29.13,30.39,
KERRISDALE,8,33.94,35.47,36.15,
KIM SIA COURT,9,28.25,29.06,30.27,
KINGSFORD . HILLVIEW PEAK,23,33.82,37.04,41.16,
KINGSFORD WATERBAY,19,32.92,36.15,38.76,
KOVAN MELODY,19,29.25,31.43,32.91,
KOVAN REGENCY,19,33.83,38.26,40.63,
KOVAN RESIDENCES,19,28.22,30.17,32.77,
L'VIV,11,47.54,50.82,53.76,
LA FIESTA,19,30.11,31.43,33.33,
LAKEHOLMZ,22,24.55,26.36,29.63,
LAKESIDE APARTMENTS,22,18.25,19.01,19.77,
LAKEVILLE,22,36.00,38.19,40.06,
LANDMARK TOWER,3,28.19,30.34,32.53,
LE CRESCENDO,14,28.90,29.68,32.93,
LEEDON RESIDENCE,10,41.92,48.47,52.58,
LEONIE CONDOTEL,9,34.08,34.82,36.05,
LEONIE GARDENS,9,26.30,28.57,29.87,
LINCOLN SUITES,11,51.52,55.22,58.88,
LIVIA,18,22.22,23.73,25.64,
LOFT @ NATHAN,10,47.70,52.38,55.00,
LOYANG VALLEY,17,16.99,18.21,19.33,
LUMIERE,2,44.44,57.50,57.94,
MANDARIN GARDENS,15,26.80,31.25,33.98,
MAPLE WOODS,21,27.34,29.70,31.76,
MARINA BAY RESIDENCES,1,53.29,57.60,62.12,
MARINA BAY SUITES,1,40.27,43.37,46.88,
MARINA COLLECTION,4,34.87,37.36,38.42,
MARINA ONE RESIDENCES,1,49.18,51.81,55.17,
MARTIN PLACE RESIDENCES,9,46.39,50.52,56.02,
MAYSPRINGS,23,21.88,24.10,26.35,
MEADOWS @ PEIRCE,26,20.57,22.46,27.54,
MELROSE PARK,10,36.81,37.97,39.20,
MELVILLE PARK,18,23.01,24.71,25.84,
MERAPRIME,3,45.28,47.31,50.50,
MERAWOODS,23,20.00,20.80,22.04,
MI CASA,23,22.55,23.00,24.04,
MIDTOWN RESIDENCES,19,34.91,36.81,41.07,
MILL POINT,10,45.73,48.94,51.06,
MIRAGE TOWER,9,30.86,37.08,47.17,
MONTEBLEU,11,35.85,38.56,42.67,
MY MANHATTAN,18,34.03,35.58,41.35,
NATURA@HILLVIEW,23,33.90,36.37,38.54,
NEPTUNE COURT,15,19.64,21.24,23.28,
NEWEST,5,37.29,40.68,44.19,
NEWTON EDGE,9,41.43,44.29,46.55,
NEWTON GEMS,11,36.26,37.88,41.18,
NIN RESIDENCE,13,32.14,34.64,43.53,
NINE RESIDENCES,27,28.57,30.54,34.09,
NINETEEN SHELFORD ROAD,11,31.29,32.94,37.67,
NORTH PARK RESIDENCES,27,36.76,40.73,46.08,
NORTHVALE,23,21.19,21.88,25.37,
NOTTINGHILL SUITES,21,42.22,43.24,45.95,
NOUVEL 18,10,55.24,60.40,71.79,
NV RESIDENCES,18,25.00,27.16,28.99,
OASIS @ ELIAS,18,21.98,23.04,23.89,
OCEAN PARK,15,22.79,25.28,28.41,
OKIO,12,40.32,43.40,51.28,
OLEANAS RESIDENCE,9,29.17,31.61,33.02,
OLEANDER TOWERS,12,30.12,31.19,32.50,
ONE AMBER,15,32.09,34.19,37.61,
ONE DEVONSHIRE,9,53.79,58.43,68.36,
ONE DUSUN RESIDENCES,12,38.71,40.82,46.67,
ONE JERVOIS,10,38.12,40.59,42.55,
ONE SHENTON,1,43.90,49.01,58.25,
ONE-NORTH RESIDENCES,5,39.56,44.26,50.91,
OPTIMA @ TANAH MERAH,16,30.48,33.14,35.46,
ORCHARD SCOTTS,9,38.92,42.45,49.57,
ORCHID PARK CONDO,27,20.69,22.47,23.46,
OUE TWIN PEAKS,9,59.62,62.00,65.38,
PACIFIC MANSION,9,23.37,26.04,28.77,
PALM GARDENS,23,19.64,20.76,22.12,
PALM ISLES,17,24.67,27.40,32.69,
PANDAN VALLEY,21,20.36,22.09,24.50,
PARC CENTROS,19,27.17,28.69,39.77,
PARC ELEGANCE,15,38.16,41.46,41.89,
PARC EMILY,9,41.30,45.24,49.09,
PARC HAVEN,12,31.46,33.23,34.92,
PARC IMPERIAL,5,48.91,52.70,54.05,
PARC OASIS,22,22.93,24.00,25.84,
PARC OLYMPIA,17,25.56,28.87,34.78,
PARC PALAIS,21,21.01,22.48,24.55,
PARC ROSEWOOD,25,31.48,35.58,37.75,
PARC SOPHIA,9,39.66,42.34,50.00,
PARC VERA,19,26.91,28.08,30.90,
PARC VISTA,22,23.11,23.73,25.00,
PARK INFINIA AT WEE NAM,11,44.62,48.19,53.85,
PARKVIEW APARTMENTS,23,23.08,24.35,25.43,
PARVIS,10,44.40,48.13,52.17,
PATERSON RESIDENCE,9,41.01,43.17,45.90,
PAVILION 11,11,32.61,34.06,36.23,
PEBBLE BAY,15,30.59,32.79,34.18,
PEOPLE'S PARK COMPLEX,1,32.86,39.13,47.77,
PRESTIGE HEIGHTS,12,50.00,52.81,54.69,
PRINCIPAL GARDEN,3,45.77,52.66,55.56,
Q BAY RESIDENCES,18,27.70,30.41,34.69,
QUEENS,3,33.33,34.91,37.38,
QUESTA @ DUNMAN,15,35.71,37.86,38.89,
RAFFLESIA CONDO,20,27.12,32.72,33.95,
REFLECTIONS AT KEPPEL BAY,4,42.02,45.04,48.10,
REGENCY PARK,10,32.66,37.37,39.39,
REGENT GROVE,23,21.12,21.92,22.75,
REGENT HEIGHTS,23,22.11,22.89,23.68,
REGENT PARK,5,27.06,28.04,29.21,
REGENT RESIDENCES,12,32.81,34.77,48.68,
REGENTVILLE,19,22.22,23.08,23.50,
RESIDENCES @ EVELYN,11,43.48,46.67,51.24,
REZI 26,14,33.66,39.04,43.90,
RICHMOND PARK,9,37.62,40.67,45.70,
RIDGEWOOD,10,24.58,25.96,28.85,
RIO VISTA,19,22.12,23.21,24.21,
RIPPLE BAY,18,27.46,29.51,34.00,
RIS GRANDEUR,18,23.36,24.59,26.42,
RIVER ISLES,19,22.37,26.51,28.57,
RIVER PLACE,3,38.89,41.79,44.16,
RIVERGATE,9,42.86,45.61,50.34,
RIVERSAILS,19,25.24,26.63,27.85,
RIVERSOUND RESIDENCE,19,23.23,28.41,38.10,
RIVERTREES RESIDENCES,28,27.27,29.38,34.26,
RIVIERA 38,12,29.88,36.27,42.86,
ROBERTSON 100,9,47.30,48.67,52.27,
ROBINSON SUITES,1,57.78,60.00,63.83,
ROSEWOOD,25,22.51,23.13,24.02,
RV EDGE,10,50.60,58.82,61.43,
RV RESIDENCES,10,49.23,55.47,60.71,
SANCTUARY GREEN,15,33.88,35.90,38.68,
SANT RITZ,13,39.02,40.98,42.97,
SAVANNAH CONDOPARK,18,25.69,26.61,27.27,
SCOTTS SQUARE,9,63.79,68.97,75.00,
SEA ESTA,18,25.60,27.47,33.33,
SEAHILL,5,38.50,40.16,44.68,
SEASCAPE,4,40.82,42.08,43.77,
SEASONS PARK,26,21.21,22.22,22.41,
SEASONS VIEW,20,26.39,27.42,28.04,
SEASTRAND,18,25.00,28.34,32.08,
SELETAR PARK RESIDENCE,28,25.65,28.38,32.35,
SENNETT RESIDENCE,13,36.08,38.16,43.40,
SIGLAP V,15,28.57,35.42,39.58,
SIGNATURE PARK,21,21.21,22.06,23.42,
SILVERSEA,15,40.58,41.72,43.33,
SIMS URBAN OASIS,14,41.38,44.44,48.78,
SIMSVILLE,14,27.35,28.70,30.35,
SKIES MILTONIA,27,22.73,25.28,31.63,
SKY GREEN,13,29.17,36.23,44.19,
SKY HABITAT,20,35.42,40.53,44.03,
SKY VUE,20,38.96,42.86,48.65,
SKY@ELEVEN,11,35.05,36.17,38.62,
SKYLINE RESIDENCES,4,41.56,45.26,51.95,
SKYSUITES17,12,44.44,54.55,56.97,
SKYSUITES@ANSON,2,64.52,70.78,78.23,
SOLEIL @ SINARAN,11,53.26,55.93,59.34,
SOMMERVILLE PARK,10,33.01,34.81,38.04,
SOPHIA HILLS,9,46.97,52.31,57.58,
SOPHIA RESIDENCE,9,36.69,38.46,43.30,
SOUTHAVEN II,21,22.22,24.19,26.57,
SOUTHBANK,7,43.26,46.07,50.00,
SPACE @ KOVAN,19,35.59,42.31,45.00,
SPANISH VILLAGE,10,26.48,28.59,39.61,
SPOTTISWOODE 18,2,53.19,60.42,63.89,
SPOTTISWOODE PARK,2,23.73,26.85,31.65,
SPOTTISWOODE RESIDENCES,2,46.51,48.86,50.91,
SPOTTISWOODE SUITES,2,52.17,57.05,60.47,
SPRING GROVE,10,32.56,33.33,35.11,
SPRINGDALE CONDO,21,22.64,24.05,25.49,
ST REGIS RESIDENCES SINGAPORE,10,39.11,42.14,45.61,
ST THOMAS SUITES,9,44.03,45.21,50.00,
STARLIGHT SUITES,9,40.51,43.68,53.85,
STELLAR RV,10,37.97,42.65,48.00,
STRATUM,18,26.40,30.56,37.50,
SUITES @ EASTCOAST,15,35.19,44.12,48.53,
SUITES AT ORCHARD,9,50.59,57.69,62.75,
SUMMERHILL,21,23.08,24.77,27.38,
SUNGLADE,19,31.48,32.83,34.34,
SUNHAVEN,16,22.52,23.91,26.74,
SYMPHONY HEIGHTS,21,21.24,22.50,25.00,
SYMPHONY SUITES,27,28.24,29.60,31.25,
TANAMERA CREST,16,24.04,24.40,26.67,
TANGLIN PARK,10,35.00,37.47,39.30,
TANGLIN REGENCY,10,32.28,35.44,37.88,
TANGLIN VIEW,3,35.29,36.59,38.46,
TERRASSE,19,28.36,32.43,36.50,
TERRENE AT BUKIT TIMAH,21,29.35,32.01,38.46,
THE ANCHORAGE,3,26.83,28.18,29.63,
THE ARTE,12,28.17,29.58,31.15,
THE AZURE,4,35.43,37.38,38.71,
THE BAYSHORE,16,25.00,26.09,26.96,
THE BEACON,2,38.83,41.71,44.44,
THE BENCOOLEN,7,40.21,41.86,43.75,
THE BERTH BY THE COVE,4,39.10,41.30,46.15,
THE BLOSSOMVALE,21,27.50,27.93,30.95,
THE BOUTIQ,9,48.78,50.93,57.45,
THE CALROSE,26,20.59,21.49,23.13,
THE CASCADIA,21,33.09,35.31,38.13,
THE CENTRIS,22,32.26,33.58,35.86,
THE CLEARWATER,16,25.89,26.32,28.89,
THE CLIFT,1,59.20,63.55,77.19,
THE COAST AT SENTOSA COVE,4,36.17,37.23,39.17,
THE COSMOPOLITAN,9,43.90,46.15,48.78,
THE CREEK @ BUKIT,21,31.75,36.73,42.59,
THE CREST,3,46.05,49.65,56.38,
THE DAIRY FARM,23,20.02,22.34,23.46,
THE ESTA,15,33.06,34.55,36.01,
THE ESTUARY,27,24.59,26.74,30.91,
THE FORESTA @ MOUNT FABER,4,42.05,51.39,58.89,
THE GALE,17,22.26,23.63,25.91,
THE GARDENS AT BISHAN,20,25.36,26.42,28.21,
THE GLADES,16,38.46,43.40,47.62,
THE GLYNDEBOURNE,11,37.41,39.80,43.07,
THE GREENWICH,28,27.00,29.27,31.25,
THE HILLFORD,21,44.59,45.95,48.32,
THE HILLIER,23,35.96,37.33,41.18,
THE HILLSIDE,21,22.15,22.88,26.60,
THE IMPERIAL,9,50.35,52.55,63.41,
THE INFINITI,5,24.14,26.52,28.10,
THE INFLORA,17,25.66,28.99,36.05,
THE INSPIRA,9,43.18,45.05,46.51,
THE INTERLACE,4,31.01,35.71,38.95,
THE INTERWEAVE,12,35.94,47.22,52.78,
THE JADE,23,29.87,31.13,35.11,
THE LAKEFRONT RESIDENCES,22,32.74,35.92,44.68,
THE LAKESHORE,22,29.51,30.90,32.14,
THE LANAI,23,29.72,30.17,30.91,
THE LAURELS,9,54.88,58.82,62.20,
THE LEVELZ,10,39.02,41.94,45.45,
THE LUXURIE,19,28.49,30.56,33.09,
THE MADEIRA,23,21.05,22.03,24.77,
THE MAKENA,15,26.67,28.20,29.89,
THE MARBELLA,10,37.87,39.84,40.74,
THE MAYFAIR,22,24.32,26.54,29.07,
THE METROPOLITAN CONDO,3,35.19,38.48,42.42,
THE METZ,9,60.71,62.31,68.35,
THE MEYERISE,15,36.89,39.83,42.37,
THE MEZZO,12,32.05,33.33,37.18,
THE MILTONIA RESIDENCES,27,23.14,26.25,27.50,
THE MINTON,19,27.23,28.57,30.00,
THE MONTANA,10,38.34,43.04,45.91,
THE NAUTICAL,27,25.00,29.79,32.47,
THE NEXUS,21,33.73,35.48,37.63,
THE OCEANFRONT @ SENTOSA COVE,4,33.96,38.36,40.88,
THE ORCHARD RESIDENCES,9,56.60,63.33,67.69,
THE PALETTE,18,26.22,28.53,31.06,
THE PANORAMA,20,31.94,39.77,43.75,
THE PARC CONDO,5,29.79,31.86,34.09,
THE PEAK@BALMEG,5,30.04,32.86,34.19,
THE PIER AT ROBERTSON,9,58.18,63.64,69.64,
THE PLAZA,7,30.78,40.45,44.09,
THE POIZ RESIDENCES,13,43.68,48.00,51.28,
THE PROMENADE@PELIKAT,19,33.33,37.78,40.48,
THE QUARTZ,19,22.22,24.75,26.77,
THE RAINTREE,21,27.59,28.95,30.33,
THE REGENCY AT TIONG BAHRU,3,41.18,44.54,47.06,
THE RESIDENCES AT W SINGAPORE SENTO,4,46.33,47.35,49.03,
THE RIVERWALK,1,40.18,43.49,47.76,
THE ROCHESTER RESIDENCES,5,37.04,40.51,43.80,
THE SAIL @ MARINA BAY,1,47.62,52.80,58.54,
THE SANTORINI,18,32.65,33.67,34.78,
THE SCALA,19,36.36,38.10,45.45,
THE SCOTTS TOWER,9,59.68,61.88,66.95,
THE SEA VIEW,15,34.73,36.64,38.30,
THE SEAFRONT ON MEYER,15,33.02,33.67,35.33,
THE SEAWIND,15,36.07,38.18,39.17,
THE SHELFORD,11,38.29,40.08,45.80,
THE SHORE RESIDENCES,15,41.19,43.64,45.45,
THE SKYWOODS,23,29.41,31.91,37.31,
THE SOUND,15,34.48,37.18,38.57,
THE SPRINGBLOOM,19,27.18,28.24,30.77,
THE STERLING,21,28.61,30.86,31.47,
THE SUITES AT CENTRAL,9,48.73,50.19,65.69,
THE SUMMIT,16,22.77,24.36,27.57,
THE SUNNY SPRING,14,26.36,27.97,29.08,
THE TANAMERA,16,21.28,23.64,26.95,
THE TEMBUSU,19,31.96,35.71,42.22,
THE TENNERY,23,30.52,33.05,35.09,
THE TESSARINA,10,33.70,34.88,36.59,
THE TRILINQ,5,42.00,43.97,49.00,
THE TRILLIUM,9,37.86,40.27,43.08,
THE TRIZON,10,34.04,37.04,38.93,
THE TROPICA,18,23.60,24.11,24.72,
THE TRUMPS,14,29.24,31.85,35.48,
THE VERMONT ON CAIRNHILL,9,46.34,47.76,52.20,
THE VIRIDIAN,12,40.82,43.88,45.74,
THE VISION,5,32.51,33.70,35.94,
THE WARREN,23,24.28,25.37,26.59,
THE WATERINA,14,30.17,33.02,37.50,
THE WATERSIDE,15,25.63,27.12,28.64,
THE WHARF RESIDENCE,9,44.44,48.30,55.32,
THE WISTERIA,27,27.71,31.36,35.59,
THOMSON 800,11,26.49,27.27,28.81,
THOMSON EURO-ASIA,11,38.65,40.82,43.86,
THOMSON GRAND,20,26.29,27.27,29.55,
THOMSON IMPRESSIONS,20,35.01,41.28,44.77,
THOMSON THREE,20,29.90,32.35,33.82,
THOMSON VIEW CONDO,20,16.95,19.51,20.63,
TIARA,9,32.41,36.00,39.58,
TIONG BAHRU ESTATE,3,32.94,41.23,48.77,
TRE RESIDENCES,14,43.26,45.72,54.49,
TREE HOUSE,23,25.93,27.10,29.86,
TRELLIS TOWERS,12,27.78,30.19,36.11,
TRESALVEO,20,26.58,31.20,35.87,
TREVISTA,12,33.61,35.94,38.30,
TRIBECA,9,42.19,50.94,53.77,
TRILIGHT,11,38.27,43.24,48.54,
TRILIVE,19,34.48,35.00,39.22,
TROPICAL SPRING,18,26.72,28.45,30.09,
TWIN REGENCY,3,44.97,50.04,51.81,
UE SQUARE,9,31.74,35.24,39.00,
URBAN SUITES,9,48.61,50.00,54.79,
URBAN VISTA,16,34.55,39.05,41.81,
URBANA,9,44.80,46.59,50.93,
V ON SHENTON,1,53.57,61.90,68.18,
VACANZA @ EAST,14,29.47,30.67,34.62,
VALLEY PARK,10,30.97,32.83,35.92,
VARSITY PARK CONDO,5,31.91,33.95,36.46,
VERSILIA ON HAIG,15,29.52,30.95,31.58,
VIBES @ EAST COAST,15,40.24,44.80,46.56,
VIDA,9,42.14,46.49,55.32,
VILLA DELLE ROSE,10,30.26,31.29,33.40,
VILLA MARINA,15,26.29,27.83,30.17,
VILLAGE @ PASIR PANJANG,5,28.85,32.02,34.42,
VISIONCREST,9,49.18,51.56,58.33,
VISTA RESIDENCES,12,35.21,36.45,39.27,
VIVA,11,43.27,51.55,56.10,
VIVA VISTA,5,44.19,52.70,56.25,
VIZ AT HOLLAND,10,34.19,37.83,44.02,
VUE 8 RESIDENCE,18,27.60,29.70,31.96,
WATER PLACE,15,30.30,32.10,33.78,
WATERBANK AT DAKOTA,14,40.57,43.90,50.00,
WATERFORD RESIDENCE,9,39.56,43.56,46.94,
WATERFRONT @ FABER,5,27.91,32.84,34.86,
WATERFRONT GOLD,16,28.10,31.79,35.48,
WATERFRONT ISLE,16,29.43,30.82,35.98,
WATERFRONT KEY,16,26.50,29.06,31.41,
WATERMARK ROBERTSON QUAY,9,45.72,48.12,49.74,
WATERSCAPE AT CAVENAGH,9,36.89,40.00,43.10,
WATERTOWN,19,33.93,36.00,38.10,
WATERVIEW,18,24.76,27.07,29.45,
WEST BAY CONDO,5,26.27,29.41,31.93,
WESTCOVE CONDO,5,24.53,27.68,29.41,
WHITEHAVEN,5,38.36,44.16,46.00,
WOODHAVEN,25,28.13,30.28,31.25,
WOODSVILLE 28,13,31.71,32.60,34.42,
YISHUN EMERALD,27,20.95,22.86,23.58,
YISHUN SAPPHIRE,27,21.43,22.40,23.08,
YONG AN PARK,9,33.11,35.28,38.68,
ZEDGE,11,36.62,39.44,41.30,
"*The above figures are for non-landed residential buil contracts signed in the quarter
** To convert from $ psm to $ psf, divide by a factor 1",,,,,
dings with at least 10 rental,,,,,
0.764,,,,,
