Name,Postal District,"25th
Percentile",Median,"75th
Percentile",
18 WOODSVILLE,13,36.84,39.71,43.48,
26 NEWTON,11,50.00,56.82,57.95,
368 THOMSON,11,35.80,37.04,38.27,
38 I SUITES,15,38.71,40.22,42.55,
6 DERBYSHIRE,11,45.45,47.49,50.00,
76 SHENTON,2,49.45,56.03,61.82,
8 @ MOUNT SOPHIA,9,46.92,49.55,52.99,
8@WOODLEIGH,13,34.62,37.50,40.26,
A TREASURE TROVE,19,25.00,26.80,29.17,
AALTO,15,34.72,36.11,36.62,
ADRIA,11,44.94,47.64,51.82,
ALESSANDREA,3,32.32,33.15,33.33,
ALEX RESIDENCES,3,50.79,56.25,59.05,
ALEXIS,3,35.06,48.51,59.46,
ALLSWORTH PARK,10,24.03,26.38,29.35,
ALTEZ,2,63.52,68.66,73.47,
AMARANDA GARDENS,19,29.37,32.04,33.01,
AMARYLLIS VILLE,11,41.59,44.19,47.06,
AQUARIUS BY THE PARK,16,25.00,26.96,31.17,
ARCHIPELAGO,16,29.49,31.31,38.78,
ARDMORE PARK,10,48.64,52.53,54.47,
ASCENTIA SKY,3,37.63,40.51,42.70,
ASPEN HEIGHTS,9,34.15,35.67,36.99,
ASTORIA PARK,14,28.44,29.36,31.65,
ASTRID MEADOWS,10,34.05,36.19,39.74,
ATRIUM RESIDENCES,14,27.10,29.80,32.30,
AVA TOWERS,12,25.00,26.36,26.92,
AVILA GARDENS,17,18.60,21.69,24.10,
AZALEA PARK CONDO,17,17.14,18.15,20.45,
BALLOTA PARK CONDO,17,17.04,19.59,21.28,
BANYAN CONDO,5,22.78,23.49,24.59,
BARTLEY RESIDENCES,19,31.00,33.33,39.89,
BARTLEY RIDGE,13,31.88,34.78,41.86,
BAYSHORE PARK,16,26.52,29.04,30.84,
BEDOK RESIDENCES,16,37.00,42.60,45.45,
BELLE VUE RESIDENCES,9,40.22,43.02,45.94,
BELMOND GREEN,10,37.50,39.77,40.70,
BLISS@KOVAN,19,27.83,32.95,37.57,
BLOSSOMS @ WOODLEIGH,13,31.32,33.21,34.78,
BLUE HORIZON,5,31.73,33.33,33.65,
BOATHOUSE RESIDENCES,19,25.74,27.27,30.30,
BOTANIC GARDENS VIEW,10,25.77,28.34,36.41,
BOTANNIA,5,26.90,29.31,31.09,
BUKIT REGENCY,21,20.41,21.68,23.41,
BULLION PARK,26,22.93,25.64,28.13,
BURLINGTON SQUARE,7,37.93,40.22,41.91,
BUTTERWORTH 8,15,28.88,30.17,31.03,
CAIRNHILL CREST,9,41.39,43.05,45.71,
CAIRNHILL NINE,9,66.67,69.50,73.53,
CAIRNHILL PLAZA,9,25.46,29.27,30.32,
