Name,Postal District,"25th
Percentile",Median,"75th
Percentile",
OLEANAS RESIDENCE,9,31.30,32.89,35.09,
OLEANDER TOWERS,12,29.57,30.84,33.75,
ONE-NORTH RESIDENCES,5,41.90,45.95,49.12,
ONE AMBER,15,32.50,34.82,37.19,
ONE BALMORAL,10,45.56,47.78,51.11,
ONE DEVONSHIRE,9,53.17,60.00,67.05,
ONE DUSUN RESIDENCES,12,40.82,43.10,46.67,
ONE JERVOIS,10,39.60,40.22,42.20,
ONE NORTH BRIDGE,6,61.54,82.19,93.53,
ONE OXLEY RISE,9,40.59,43.82,45.61,
ONE SHENTON,1,43.69,50.51,61.11,
ONE TREE HILL RESIDENCE,10,37.97,40.35,41.76,
ONZE @ TANJONG PAGAR,2,56.60,61.32,63.83,
OPTIMA @ TANAH MERAH,16,27.79,31.00,33.71,
ORANGE GROVE RESIDENCES,10,36.00,37.70,41.78,
ORCHARD SCOTTS,9,42.76,45.04,51.23,
ORCHID PARK CONDO,27,20.75,21.42,22.38,
OUE TWIN PEAKS,9,60.38,64.08,67.31,
OXFORD SUITES,8,33.43,36.14,38.32,
PALM GARDENS,23,20.79,21.43,22.32,
PALM ISLES,17,26.23,27.40,33.33,
PANDAN VALLEY,21,21.29,23.19,25.83,
PARC CENTROS,19,27.34,30.99,40.70,
PARC ELEGANCE,15,37.80,40.74,45.95,
PARC EMILY,9,42.52,45.62,52.11,
PARC HAVEN,12,30.53,33.51,37.01,
PARC IMPERIAL,5,47.51,51.96,54.05,
PARC MONDRIAN,13,29.25,32.93,34.52,
PARC OASIS,22,23.68,25.00,26.32,
PARC OLYMPIA,17,25.07,27.03,31.37,
PARC PALAIS,21,21.74,22.92,23.61,
PARC ROSEWOOD,25,29.97,34.04,37.50,
PARC SOPHIA,9,39.66,41.48,47.81,
PARC VERA,19,24.53,27.03,29.17,
PARC VISTA,22,23.17,23.96,25.51,
PARK INFINIA AT WEE NAM,11,45.97,48.51,51.91,
PARKSHORE,15,24.82,25.81,26.17,
PARKVIEW APARTMENTS,23,22.73,23.91,25.01,
PARVIS,10,41.74,44.02,47.70,
PASTORAL VIEW,11,32.72,37.39,44.92,
PATENT PLACE,21,23.58,23.99,24.25,
PATERSON RESIDENCE,9,42.25,45.45,48.98,
PAVILION 11,11,31.52,34.78,37.08,
PAYA LEBAR RESIDENCES,14,30.12,31.62,34.31,
PEBBLE BAY,15,32.07,33.14,35.12,
PEOPLE'S PARK COMPLEX,1,40.34,46.41,50.00,
PINETREE CONDO,10,23.29,25.00,29.32,
PINNACLE 16,12,38.12,40.96,42.52,
POLLEN & BLEU,10,43.18,47.69,49.11,
PRESTIGE HEIGHTS,12,47.67,52.28,54.84,
PRINCIPAL GARDEN,3,47.95,52.09,55.80,
Q BAY RESIDENCES,18,25.96,28.09,35.31,
QUEENS,3,33.64,37.14,40.94,
QUESTA @ DUNMAN,15,35.47,37.14,40.41,
RAFFLESIA CONDO,20,29.73,32.94,34.57,
RANGOON 88,8,36.91,45.30,50.32,
REFLECTIONS AT KEPPEL BAY,4,42.37,45.00,47.18,
REGENCY PARK,10,31.06,33.71,37.30,
REGENT GROVE,23,21.40,21.66,22.69,
REGENT HEIGHTS,23,23.15,23.16,23.85,
REGENT PARK,5,28.09,29.21,32.00,
REGENT RESIDENCES,12,32.24,33.55,47.37,
REGENTVILLE,19,23.36,24.18,25.56,
REIGNWOOD HAMILTON SCOTTS,9,41.80,45.41,46.88,
RESIDENCES @ EVELYN,11,40.03,42.72,48.12,
REZI 26,14,38.89,42.22,43.80,
REZI 3TWO,14,39.23,41.49,43.75,
RICHMOND PARK,9,38.82,40.93,42.69,
RIDGEWOOD,10,23.65,25.49,28.34,
RIO VISTA,19,22.01,22.57,23.01,
RIPPLE BAY,18,27.45,29.37,34.25,
RIS GRANDEUR,18,22.39,23.47,24.37,
RIVER ISLES,19,22.75,24.05,26.53,
RIVER PLACE,3,38.63,41.10,44.16,
RIVERBANK @ FERNVALE,28,27.32,29.55,29.69,
RIVERBAY,12,35.42,42.96,44.44,
RIVERDALE RESIDENCE,9,31.08,31.82,32.79,
RIVEREDGE,15,33.85,35.91,38.34,
RIVERGATE,9,45.40,46.91,50.62,
RIVERSAILS,19,25.22,26.83,34.06,
RIVERSIDE 48,9,37.16,38.96,39.74,
RIVERSOUND RESIDENCE,19,24.01,25.22,27.71,
RIVERTREES RESIDENCES,28,26.92,29.23,32.35,
RIVERVALE CREST,19,21.05,22.37,23.86,
ROBERTSON 100,9,44.65,47.19,51.32,
ROBERTSON EDGE,9,53.49,57.50,57.95,
ROBIN SUITES,10,53.49,56.00,57.73,
ROBINSON SUITES,1,60.60,62.77,67.11,
ROCHELLE AT NEWTON,11,41.83,43.41,45.80,
ROSEWOOD,25,22.55,23.03,24.25,
ROYAL RESIDENCES,9,41.67,41.67,41.67,
RV RESIDENCES,10,50.79,58.73,64.10,
RV SUITES,10,46.63,49.51,50.77,
SANCTUARY GREEN,15,30.88,33.33,38.49,
SANT RITZ,13,37.48,40.92,43.37,
SAVANNAH CONDOPARK,18,24.21,25.23,26.36,
SCOTTS 28,9,37.43,37.74,39.71,
SCOTTS SQUARE,9,65.37,68.97,76.82,
SEA ESTA,18,26.17,27.63,32.05,
SEAHILL,5,37.10,40.97,44.59,
SEASCAPE,4,41.59,42.96,44.18,
SEASONS PARK,26,21.15,21.50,22.42,
SEASONS VIEW,20,26.42,27.36,28.30,
SEASTRAND,18,26.48,30.49,32.87,
SEASUITES,5,36.14,37.65,41.08,
SELETAR PARK RESIDENCE,28,24.11,26.57,30.23,
SELETARIS,27,17.94,18.91,20.45,
SENNETT ESTATE,13,18.90,28.57,30.31,
SENNETT RESIDENCE,13,36.36,40.91,43.40,
SEVENTY SAINT PATRICK'S,15,37.04,38.46,40.07,
SHERWOOD TOWER,21,22.29,24.61,30.18,
SIGLAP V,15,32.16,34.54,38.42,
SIGNATURE PARK,21,20.79,22.21,23.47,
SILVERSCAPE,14,41.48,44.74,45.39,
SILVERSEA,15,40.26,42.86,46.55,
SIMS URBAN OASIS,14,43.01,45.54,50.85,
SIMSVILLE,14,27.92,28.89,30.46,
SKIES MILTONIA,27,23.95,26.17,32.08,
SKY GREEN,13,35.14,37.05,44.19,
SKY HABITAT,20,36.17,37.89,40.91,
SKY VUE,20,41.27,44.52,50.20,
SKY@ELEVEN,11,35.53,37.13,37.91,
SKYLINE RESIDENCES,4,41.91,45.45,48.05,
SKYSUITES@ANSON,2,63.08,72.58,76.47,
SKYSUITES17,12,45.18,53.03,55.93,
SOLEIL @ SINARAN,11,50.57,53.93,57.71,
SOMMERVILLE PARK,10,30.53,33.78,35.54,
SOPHIA HILLS,9,47.17,51.89,56.48,
SOPHIA RESIDENCE,9,37.71,41.05,51.55,
SOUTHAVEN II,21,20.92,21.85,22.38,
SOUTHBANK,7,43.82,49.83,52.63,
SPACE @ KOVAN,19,31.91,35.59,39.23,
SPANISH VILLAGE,10,24.82,26.87,29.86,
SPAZIO @ KOVAN,19,32.34,35.25,40.21,
SPOTTISWOODE 18,2,50.85,61.11,63.89,
SPOTTISWOODE PARK,2,23.73,24.58,30.70,
SPOTTISWOODE RESIDENCES,2,46.24,50.00,51.80,
SPOTTISWOODE SUITES,2,58.00,60.98,62.32,
SPRING GROVE,10,32.56,34.91,37.80,
SPRINGDALE CONDO,21,24.23,25.58,27.01,
ST MARTIN RESIDENCE,10,43.86,48.00,56.86,
ST REGIS RESIDENCES SINGAPORE,10,40.96,43.16,45.70,
ST THOMAS SUITES,9,43.51,44.38,47.07,
STARLIGHT SUITES,9,40.99,45.33,49.52,
STARVILLE,14,26.72,28.05,39.58,
STELLAR RV,10,46.00,48.00,50.00,
STRATA,11,41.72,49.46,52.17,
STRATUM,18,27.46,31.84,36.24,
STURDEE RESIDENCES,8,50.16,52.09,57.21,
SUITES @ CAIRNHILL,9,45.88,48.57,52.83,
SUITES @ EASTCOAST,15,36.23,42.43,45.96,
SUITES @ GUILLEMARD,15,36.07,44.44,47.00,
SUITES @ PAYA LEBAR,19,42.95,44.36,45.89,
SUITES AT BUKIT TIMAH,21,39.48,42.31,48.12,
SUITES AT ORCHARD,9,59.61,62.86,65.73,
SUITES DE LAUREL,21,32.84,37.83,39.23,
SUMMERHILL,21,23.78,24.65,26.57,
SUNGLADE,19,30.98,32.41,34.83,
SUNHAVEN,16,22.22,23.87,25.90,
SUNSHINE PLAZA,7,38.82,41.41,42.18,
SYMPHONY HEIGHTS,21,23.33,24.48,25.56,
SYMPHONY SUITES,27,28.12,30.41,31.25,
TANAMERA CREST,16,24.28,25.13,26.82,
TANGLIN PARK,10,35.06,37.06,39.97,
TANGLIN REGENCY,10,35.63,37.78,38.31,
TANGLIN VIEW,3,34.17,35.40,37.50,
TANJONG RIA CONDO,15,25.48,28.57,30.49,
TERESA VILLE,4,21.43,23.37,24.85,
TERRASSE,19,27.03,30.39,33.24,
TERRENE AT BUKIT TIMAH,21,29.13,31.18,35.29,
THE ANCHORAGE,3,27.39,28.79,30.30,
THE ARC AT DRAYCOTT,10,45.41,45.71,48.20,
THE ARCADIA,11,25.85,26.90,29.30,
THE ARRIS,2,48.59,50.58,53.77,
THE ARTE,12,28.87,30.53,30.69,
THE ATRIA AT MEYER,15,26.62,27.27,29.44,
THE AZURE,4,37.71,38.22,40.17,
THE BAYRON,9,44.68,46.96,51.70,
THE BAYSHORE,16,25.07,26.16,27.66,
THE BEACON,2,40.39,43.69,44.89,
THE BEAUMONT,9,29.88,31.10,33.05,
THE BELVEDERE,15,33.20,36.94,39.46,
THE BENCOOLEN,7,39.11,41.67,43.75,
THE BERTH BY THE COVE,4,36.11,41.67,43.48,
THE BLOSSOMVALE,21,27.18,28.08,28.69,
THE BOUTIQ,9,51.53,54.57,57.63,
THE CAIRNHILL,9,23.75,24.96,26.41,
THE CALROSE,26,21.81,23.14,24.11,
THE CAPE,15,43.04,44.44,48.18,
THE CASCADIA,21,34.46,36.59,39.39,
THE CATHAY RESIDENCES,9,45.59,51.34,53.04,
THE CENTREPOINT,9,30.78,36.23,39.59,
THE CENTRIO,12,34.34,36.26,40.14,
THE CENTRIS,22,30.94,33.33,34.88,
THE CHUAN,19,31.03,33.60,35.34,
THE CLAYMORE,9,30.92,33.52,37.38,
THE CLEARWATER,16,24.80,25.60,26.37,
THE CLEMENT CANOPY,5,39.71,43.18,45.60,
THE CLIFT,1,61.17,65.31,69.44,
THE COAST AT SENTOSA COVE,4,36.04,37.23,39.17,
THE COLONNADE,10,33.77,35.71,37.20,
THE CORNWALL,10,44.53,46.51,53.49,
THE COSMOPOLITAN,9,46.20,48.45,51.02,
THE CREEK @ BUKIT,21,39.95,44.77,47.08,
THE CREST,3,45.93,51.23,53.48,
THE DAIRY FARM,23,20.02,22.42,24.06,
THE ESTA,15,34.01,35.04,37.19,
THE ESTRELLA,5,28.72,30.83,31.19,
THE ESTUARY,27,23.32,25.58,28.28,
THE FORD @ HOLLAND,10,40.84,49.51,54.18,
THE FORESTA @ MOUNT FABER,4,42.50,46.75,57.50,
THE GALE,17,23.10,24.20,24.93,
THE GARDENS AT BISHAN,20,25.47,26.73,27.72,
THE GLADES,16,38.46,41.92,45.45,
THE GLYNDEBOURNE,11,39.60,41.79,43.66,
THE GREENWICH,28,28.00,30.36,32.14,
THE HILLFORD,21,44.64,45.95,46.62,
THE HILLIER,23,36.21,37.93,40.43,
THE HILLSIDE,21,22.61,23.20,24.38,
THE IMPERIAL,9,49.51,52.45,55.54,
THE INFINITI,5,24.00,28.24,29.07,
THE INFLORA,17,26.32,34.88,37.35,
THE INTERLACE,4,33.27,36.31,40.00,
THE INTERWEAVE,12,35.94,45.00,48.58,
THE JADE,23,29.79,32.16,35.09,
THE LAKEFRONT RESIDENCES,22,33.33,36.90,42.67,
THE LAKESHORE,22,29.64,30.38,31.42,
