Name,Postal District,"25th
Percentile",Median,"75th
Percentile",
1 KING ALBERT PARK,21,27.39,30.74,33.52,
10 SHELFORD,11,41.70,47.61,50.00,
18 WOODSVILLE,13,37.06,41.41,45.65,
1919,9,47.07,51.30,56.44,
26 NEWTON,11,53.46,54.55,56.82,
368 THOMSON,11,34.71,39.02,39.06,
38 I SUITES,15,39.21,41.94,43.41,
6 DERBYSHIRE,11,45.83,47.92,51.42,
76 SHENTON,2,53.04,58.62,63.71,
8 @ MOUNT SOPHIA,9,41.35,49.74,51.61,
8 BASSEIN,11,47.53,48.21,51.50,
8@WOODLEIGH,13,33.33,35.90,37.25,
8M RESIDENCES,15,34.34,41.57,50.00,
A TREASURE TROVE,19,27.19,28.87,30.56,
AALTO,15,35.81,38.38,38.99,
ADRIA,11,40.18,45.83,47.66,
ALESSANDREA,3,34.85,38.46,40.31,
ALEX RESIDENCES,3,52.54,56.69,61.08,
ALEXIS,3,38.76,52.94,58.49,
ALLSWORTH PARK,10,26.50,27.17,29.31,
ALTEZ,2,63.83,68.18,72.73,
AMARANDA GARDENS,19,31.61,32.04,33.33,
AMARYLLIS VILLE,11,42.20,45.08,47.06,
AMBER RESIDENCES,15,32.02,34.49,37.49,
AMBERGLADES,15,29.00,29.66,30.99,
AQUARIUS BY THE PARK,16,24.34,27.10,29.61,
ARCHIPELAGO,16,29.53,32.84,36.73,
ARDMORE II,10,48.14,49.47,53.59,
ARDMORE PARK,10,49.22,52.53,56.42,
ARDMORE RESIDENCE,10,67.22,69.60,76.37,
ASCENTIA SKY,3,38.49,40.43,42.98,
ASPEN HEIGHTS,9,34.76,36.38,38.02,
ASTON MANSIONS,14,26.75,27.66,29.72,
ASTOR GREEN,21,25.83,27.97,29.70,
ASTORIA PARK,14,28.88,29.75,32.33,
ASTRID MEADOWS,10,33.53,36.73,39.29,
ATRIUM RESIDENCES,14,30.61,32.26,33.29,
AURALIS,15,28.27,32.87,40.59,
AVANT RESIDENCES,14,46.35,47.79,48.93,
AVILA GARDENS,17,18.31,20.00,21.84,
AVON PARK,13,23.84,25.14,28.32,
AZALEA PARK CONDO,17,19.35,20.02,23.75,
BALLOTA PARK CONDO,17,17.70,18.61,19.04,
BANYAN CONDO,5,22.03,23.45,24.56,
BARTLEY RESIDENCES,19,33.02,35.14,43.60,
BARTLEY RIDGE,13,32.68,35.82,41.86,
BAYSHORE PARK,16,26.61,29.22,32.12,
BEACON HEIGHTS,12,30.00,30.23,32.26,
BEDOK RESIDENCES,16,38.50,43.64,47.20,
BELLE VUE RESIDENCES,9,38.08,43.26,46.77,
BIJOU,5,50.92,52.11,54.17,
BISHAN 8,20,30.73,31.67,32.64,
BLISS@KOVAN,19,28.79,32.14,35.00,
BLOSSOMS @ WOODLEIGH,13,30.23,31.71,33.01,
BLUE HORIZON,5,31.64,33.59,33.94,
BOATHOUSE RESIDENCES,19,26.99,29.41,31.90,
BOTANIQUE AT BARTLEY,19,38.24,40.84,43.75,
BOTANNIA,5,27.54,29.24,31.07,
BULLION PARK,26,21.74,25.64,28.14,
BURLINGTON SQUARE,7,40.25,41.14,42.81,
CAIRNHILL CREST,9,41.08,42.47,46.20,
CAIRNHILL NINE,9,66.32,70.00,79.38,
CAIRNHILL PLAZA,9,26.08,28.64,29.28,
CAIRNHILL RESIDENCES,9,45.87,47.09,48.42,
CANBERRA RESIDENCES,27,24.36,26.97,28.61,
CAPE ROYALE,4,42.28,46.10,48.09,
CARABELLE,5,29.39,30.68,32.46,
CARDIFF RESIDENCE,19,40.44,44.16,46.15,
CARIBBEAN AT KEPPEL BAY,4,45.95,48.72,52.54,
CARISSA PARK CONDO,17,20.69,21.86,22.75,
CASA AERATA,14,36.36,41.18,43.59,
CASA CAMBIO,19,37.10,41.30,43.48,
CASA FORTUNA,12,31.16,39.36,42.55,
CASA MERAH,16,28.77,29.39,30.70,
CASABLANCA,25,23.53,24.70,26.44,
CASHEW HEIGHTS CONDO,23,19.08,19.84,21.03,
CASHEW PARK CONDO,23,19.55,21.15,22.45,
CASPIAN,22,28.70,30.98,33.75,
CASTLE GREEN,26,23.52,24.89,26.41,
CASUARINA COVE,15,26.39,29.60,31.37,
CAVENAGH GARDENS,9,23.12,27.94,29.11,
CAVENDISH PARK,21,25.73,27.91,29.92,
CENTRA RESIDENCE,14,36.89,42.71,44.45,
CENTRAL GREEN CONDO,3,31.81,33.53,37.54,
CENTRAL GROVE,14,29.57,30.70,32.11,
CENTRO RESIDENCES,20,34.26,37.76,41.59,
CEYLON POINT,15,34.92,35.48,36.36,
CHANGI COURT,16,21.96,24.44,25.87,
CHANGI GREEN,16,23.01,24.19,26.54,
CHANGI RISE CONDO,18,23.92,24.88,26.32,
CHARLESTON,10,29.57,30.11,30.79,
CHILTERN PARK,19,24.51,26.27,28.45,
CHUAN PARK,19,21.83,22.54,24.78,
CITY GATE,7,38.08,53.02,62.08,
CITY SQUARE RESIDENCES,8,35.97,39.38,45.28,
CITY SUITES,12,42.09,43.52,46.83,
CITYLIGHTS,8,43.03,47.62,52.38,
CITYSCAPE @FARRER PARK,8,30.00,31.00,33.41,
CITYVISTA RESIDENCES,9,31.89,33.89,36.89,
CLEMENTI PARK,21,22.13,23.00,24.87,
CLEMENTIWOODS CONDO,5,29.06,32.35,35.71,
CLIVEDEN AT GRANGE,10,41.75,45.91,48.85,
CLOVER BY THE PARK,20,27.91,29.63,31.80,
COCO PALMS,18,31.49,33.57,40.12,
COMMONWEALTH TOWERS,3,51.03,55.81,59.09,
COMPASS HEIGHTS,19,24.08,25.16,29.63,
CONCOURSE SKYLINE,7,43.61,46.30,50.00,
CORALIS,15,36.19,40.00,42.05,
CORALS AT KEPPEL BAY,4,53.66,55.40,59.03,
COSTA DEL SOL,16,31.34,32.82,34.05,
COSTA RHU,15,29.85,31.52,33.08,
COTE D'AZUR,15,32.77,35.00,36.78,
CRADELS,12,40.74,45.12,47.56,
CUBE 8,11,35.00,37.20,38.77,
CUSCADEN RESIDENCES,10,39.35,40.47,44.55,
CYAN,10,40.66,42.99,45.46,
D'LEEDON,10,38.22,41.78,46.58,
D'NEST,18,27.95,31.03,35.78,
D'WEAVE,14,35.19,41.51,47.44,
DAHLIA PARK CONDO,17,20.51,21.13,21.60,
DAKOTA RESIDENCES,14,37.35,38.52,41.08,
DEVONSHIRE RESIDENCES,9,55.32,55.32,58.70,
DOMUS,12,36.86,49.43,52.27,
DORSETT RESIDENCES,2,58.42,64.44,67.19,
DOUBLE BAY RESIDENCES,18,29.59,31.50,34.51,
DOVER PARKVIEW,5,31.41,32.76,34.44,
DRAYCOTT EIGHT,10,47.10,52.30,55.56,
DUCHESS CREST,10,32.30,33.60,35.43,
DUCHESS RESIDENCES,10,32.42,35.97,36.76,
DUO RESIDENCES,7,55.36,61.31,65.20,
E MAISON,13,28.39,31.29,33.04,
EAST MEADOWS,16,25.91,26.67,28.17,
EAST VILLAGE,16,32.33,35.89,41.46,
EASTERN LAGOON,15,25.63,28.15,31.53,
EASTPOINT GREEN,18,25.07,25.84,26.67,
EASTWOOD REGENCY,16,33.78,38.07,42.69,
ECHELON,3,50.00,54.41,59.52,
ECO,16,32.13,33.90,36.64,
ECO SANCTUARY,23,29.67,30.88,34.58,
EDELWEISS PARK CONDO,17,20.26,21.98,23.11,
EIGHT COURTYARDS,27,24.75,25.88,27.51,
EIGHT RIVERSUITES,12,37.40,41.54,48.78,
ELIZABETH HEIGHTS,9,24.89,27.74,29.86,
EMERALD GARDEN,1,38.50,39.64,42.26,
EMERALD PARK,3,31.01,33.63,35.07,
EON SHENTON,2,57.79,62.00,65.98,
ESPADA,9,57.36,69.05,75.76,
ESTA RUBY,14,32.02,32.58,33.71,
ESTELLA GARDENS,17,21.95,24.59,27.87,
EUHABITAT,14,32.81,37.39,39.22,
EURO-ASIA COURT,9,29.77,31.59,32.78,
EVERGREEN PARK,19,19.68,21.72,23.34,
FABER CREST,5,24.55,26.17,28.04,
FERNWOOD TOWERS,15,21.15,22.52,26.42,
FERRARIA PARK CONDO,17,22.41,23.60,25.26,
FLAMINGO VALLEY,15,33.08,35.53,39.62,
FLO RESIDENCE,19,26.56,28.45,30.52,
FLORIDIAN,21,37.83,39.43,41.84,
FORESQUE RESIDENCES,23,28.57,31.82,36.58,
FORTE SUITES,8,45.90,50.00,53.66,
FOUR SEASONS PARK,10,41.43,42.86,45.24,
FRASER RESIDENCE SINGAPORE,9,45.76,53.06,56.66,
FULCRUM,15,44.34,50.00,56.82,
GALLOP GABLES,10,35.21,36.81,40.07,
GAMBIR RIDGE,19,28.61,31.20,33.14,
GARDENVISTA,21,33.28,34.71,35.97,
GILSTEAD TWO,11,41.67,43.06,44.64,
GLENDALE PARK,23,23.28,25.52,26.04,
GLENTREES,10,35.21,37.32,41.24,
GOLDENHILL PARK CONDO,20,32.12,32.89,33.95,
GOODWOOD RESIDENCE,10,48.78,51.91,54.69,
GRAMERCY PARK,10,53.48,55.93,57.26,
GRAND DUCHESS AT ST PATRICK'S,15,31.51,34.42,35.88,
GRANDE VISTA,28,17.46,18.92,20.63,
GRANDEUR 8,20,26.35,27.78,29.50,
GRANGE HEIGHTS,9,24.88,27.37,29.70,
GRANGE RESIDENCES,10,46.46,50.88,53.10,
GUILIN VIEW,23,23.15,23.95,26.90,
GUILLEMARD EDGE,14,41.35,44.74,46.34,
GUILLEMARD SUITES,14,38.78,43.09,46.70,
H2O RESIDENCES,28,25.46,27.14,28.57,
HAIG 162,15,45.87,50.00,51.52,
HARBOUR VIEW TOWERS,4,27.43,32.07,36.49,
HARBOURLIGHTS,4,32.65,35.76,38.42,
HAWAII TOWER,15,21.88,23.51,24.96,
HAZEL PARK CONDO,23,19.61,21.58,22.38,
HEDGES PARK CONDO,6,25.22,26.69,28.33,
HELIOS RESIDENCES,9,42.70,49.37,54.62,
HERITAGE VIEW,5,34.44,36.94,39.34,
HIGH PARK RESIDENCES,28,32.28,35.19,40.30,
HIGHGATE,21,19.44,19.77,20.58,
HIGHLINE RESIDENCES,3,58.36,63.83,66.97,
HILLBROOKS,23,21.88,23.53,25.98,
HILLCREST ARCADIA,11,25.77,29.00,30.76,
HILLINGTON GREEN,23,22.51,25.00,27.31,
HILLION RESIDENCES,23,37.88,43.18,45.45,
HILLSTA,23,28.89,32.48,34.69,
HILLTOPS,9,62.82,67.24,68.57,
HILLVIEW GREEN,21,20.41,21.48,23.53,
HILLVIEW HEIGHTS,23,22.09,24.15,25.26,
HILLVIEW REGENCY,23,24.32,25.00,27.16,
HORIZON TOWERS,9,28.28,31.32,32.36,
HUME PARK I,21,20.34,23.73,25.00,
HUME PARK II,21,18.87,20.31,22.41,
HUNDRED TREES,5,33.00,34.25,35.46,
ICON,2,55.56,59.88,62.80,
IDYLLIC SUITES,14,41.00,43.90,45.00,
ILLUMINAIRE ON DEVONSHIRE,9,55.88,61.08,62.79,
IMPERIAL HEIGHTS,15,33.33,35.45,38.18,
INTERNATIONAL PLAZA,2,32.92,34.53,38.05,
J GATEWAY,22,41.27,46.03,50.00,
JADE RESIDENCES,19,34.69,37.15,39.67,
JARDIN,21,31.07,32.90,35.13,
JERVOIS LODGE,10,29.09,30.56,31.80,
JEWEL @ BUANGKOK,19,31.34,33.33,40.00,
KALLANG RIVERSIDE,12,50.00,57.29,59.14,
KAP RESIDENCES,21,36.71,40.37,42.55,
KASTURINA LODGE,10,36.08,36.08,41.49,
KATONG REGENCY,15,38.72,42.90,48.78,
KEMBANGAN SUITES,14,36.89,42.08,46.28,
KENSINGTON PARK CONDO,19,23.90,26.19,27.06,
KENSINGTON SQUARE,19,32.44,36.40,37.06,
KERRISDALE,8,32.90,34.23,36.05,
KIM SIA COURT,9,27.84,29.11,30.57,
KINGSFORD . HILLVIEW PEAK,23,32.50,36.11,38.54,
KINGSFORD WATERBAY,19,31.25,33.07,34.96,
KOVAN MELODY,19,28.92,31.43,32.51,
KOVAN REGENCY,19,32.79,34.38,38.49,
KOVAN RESIDENCES,19,30.52,32.40,34.14,
KUM HING COURT,10,21.19,23.14,24.34,
L'VIV,11,50.88,54.10,57.07,
LA BRISA,14,38.74,39.58,41.70,
LA CRYSTAL,9,29.91,32.20,39.29,
LA FIESTA,19,29.93,32.77,33.82,
LA SUISSE,11,20.20,21.72,23.75,
LA VIDA @ 130,15,36.58,38.64,41.67,
LAGUNA GREEN,16,24.22,25.23,26.44,
LAKE GRANDE,22,38.30,41.79,45.61,
LAKEHOLMZ,22,23.46,26.10,27.13,
LAKEPOINT CONDO,22,18.35,20.72,25.54,
LAKEVILLE,22,33.33,36.03,38.46,
LANDBAY CONDO,16,25.53,27.20,28.71,
LATITUDE,10,41.74,46.24,50.10,
LE CRESCENDO,14,27.72,28.24,31.03,
LE REGAL,14,40.91,42.65,47.06,
LEEDON RESIDENCE,10,47.98,51.55,56.03,
LEICESTER SUITES,13,45.35,47.62,49.42,
LEONIE CONDOTEL,9,32.59,34.46,35.32,
LEONIE GARDENS,9,29.37,30.73,34.00,
LEONIE SUITES,9,46.05,47.82,50.00,
LIBERTE,10,42.98,43.41,46.11,
LINCOLN SUITES,11,49.46,53.19,56.78,
LIV ON WILKIE,9,56.52,59.52,61.90,
LIVIA,18,21.97,23.78,25.58,
LOFT @ NATHAN,10,45.37,48.89,52.35,
LOFT@HOLLAND,10,70.59,73.33,76.67,
LOTUS AT JOO CHIAT,15,30.26,35.11,38.27,
LOTUS AT PAYA LEBAR,14,27.05,36.76,59.20,
LOYANG VALLEY,17,16.66,18.88,20.60,
LUMA,9,40.49,43.48,45.81,
LUMIERE,2,46.85,49.21,53.93,
M66,12,35.59,36.16,38.72,
MANDALE HEIGHTS,11,35.37,36.84,39.34,
MANDARIN GARDENS,15,24.58,27.57,32.16,
MAPLE WOODS,21,28.23,30.47,32.11,
MARINA BAY RESIDENCES,1,55.43,59.43,65.43,
MARINA BAY SUITES,1,43.52,46.36,48.64,
MARINA COLLECTION,4,37.44,39.41,45.32,
MARINA ONE RESIDENCES,1,53.03,56.15,58.49,
MARTIN PLACE RESIDENCES,9,46.90,52.43,54.55,
MAYSPRINGS,23,22.27,24.10,26.51,
MEADOWS @ PEIRCE,26,22.43,23.53,25.03,
MELROSE PARK,10,34.68,37.97,38.42,
MELVILLE PARK,18,23.71,25.28,26.44,
MERAPRIME,3,45.71,48.58,54.06,
MERAWOODS,23,19.20,20.80,22.58,
MIDTOWN RESIDENCES,19,33.65,37.92,40.00,
MILL POINT,10,48.06,51.22,53.19,
MIRAGE TOWER,9,32.58,36.84,45.28,
MIRO,11,35.54,39.67,41.40,
MONTEBLEU,11,35.75,37.33,40.99,
MONTEREY PARK CONDO,5,27.27,29.13,31.79,
MONTVIEW,10,31.48,32.02,35.43,
MOUNT FABER LODGE,4,26.54,28.84,30.61,
MY MANHATTAN,18,35.37,41.27,46.01,
NASSIM REGENCY,10,46.69,48.42,49.47,
NATHAN RESIDENCES,10,45.39,47.61,49.09,
NATURA@HILLVIEW,23,33.90,36.37,38.90,
NEPTUNE COURT,15,20.09,21.19,21.84,
NESS,14,35.71,40.97,44.06,
NEWEST,5,17.62,24.88,37.04,
NEWTON EDGE,9,37.03,41.48,49.09,
NEWTON GEMS,11,36.58,38.58,40.82,
NEWTON SUITES,11,52.17,57.95,61.35,
NIN RESIDENCE,13,31.94,35.44,42.94,
NINE RESIDENCES,27,29.55,30.30,33.96,
NINETEEN SHELFORD ROAD,11,32.27,34.55,35.60,
NORTH PARK RESIDENCES,27,36.21,38.46,41.54,
NORTHVALE,23,21.19,22.77,24.26,
NOTTINGHILL SUITES,21,38.39,43.24,47.64,
NOVA 88,12,31.63,32.58,38.79,
NOVENA LODGE,11,32.06,32.95,33.29,
NOVENA REGENCY,11,49.12,51.92,55.81,
NV RESIDENCES,18,24.55,26.19,30.43,
OASIS @ ELIAS,18,23.49,25.27,26.55,
OCEAN PARK,15,27.61,27.84,31.25,
OKIO,12,43.00,47.09,49.58,
