S.N,Building.Project.Name,StreetName,Postal.District,Type,No..of.Bedroom,Monthly.Gross.Rent...,Floor.Area..sq.ft.,Mean.Floor.Area..sq.ft.,Category,Date,lon,lat,address
157,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2250,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
158,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
159,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
160,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2100,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
161,FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,4,1250,1300 to 1400,1350,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
162,FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,4,1300,1400 to 1500,1450,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
163,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,2300,1100 to 1200,1150,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
164,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,2400,1100 to 1200,1150,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
165,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
166,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2600,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
167,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,2,2000,900 to 1000,950,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
168,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
169,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2300,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
170,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2450,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
171,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
172,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
173,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2200,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
174,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
175,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
176,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
177,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
178,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
179,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
180,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
181,TWIN FOUNTAINS,WOODLANDS AVENUE 6,25,Executive Condominium,3,2250,1000 to 1100,1050,NA,19-Aug,103.8030299,1.4387944,"woodlands ave 6, singapore"
182,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
183,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2300,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
184,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2550,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
185,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2480,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
186,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2250,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
187,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
188,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
189,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2100,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
190,FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,4,1250,1300 to 1400,1350,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
191,FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,4,1300,1400 to 1500,1450,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
192,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,2300,1100 to 1200,1150,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
193,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,2400,1100 to 1200,1150,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
194,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
195,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2600,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
196,LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,2,2000,900 to 1000,950,NA,19-Aug,103.7945328,1.4300615,"woodlands drive 16, singapore"
197,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
198,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2300,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
199,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2450,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
200,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
201,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
202,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2200,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
203,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
204,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
205,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
206,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
207,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2300,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
208,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
209,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
210,TWIN FOUNTAINS,WOODLANDS AVENUE 6,25,Executive Condominium,3,2250,1000 to 1100,1050,NA,19-Aug,103.8030299,1.4387944,"woodlands ave 6, singapore"
211,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
212,NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,2300,1200 to 1300,1250,NA,19-Aug,103.8024146,1.4468524,"woodlands cres, singapore"
213,WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,2550,1300 to 1400,1350,NA,19-Aug,103.8044632,1.4434388,"woodlands drive 72, singapore"
