S.N,Building.Project.Name,StreetName,Postal.District,Type,No..of.Bedroom,Monthly.Gross.Rent...,Floor.Area..sq.ft.,Mean.Floor.Area..sq.ft.,Category,Date,lon,lat,address
36,PINEVALE,TAMPINES STREET 73,18,Executive Condominium,3,2900,1300 to 1400,1350,NA,19-Aug,103.9323512,1.358946,"tampines street 73, singapore"
37,THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,2500,1000 to 1100,1050,NA,19-Aug,103.960135,1.3559002,"tampines street 34, singapore"
38,SEA HORIZON,PASIR RIS RISE,18,Executive Condominium,2,1700,700 to 800,750,NA,19-Aug,103.9591194,1.3765609,"pasir ris rise, singapore"
39,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,2400,900 to 1000,950,NA,19-Aug,103.9559533,1.3420111,"simei street 4, singapore"
40,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.9364814,1.3803551,"pasir ris street 72, singapore"
41,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,2700,1200 to 1300,1250,NA,19-Aug,103.9559533,1.3420111,"simei street 4, singapore"
42,EASTVALE,PASIR RIS DRIVE 3,18,Executive Condominium,3,2350,1000 to 1100,1050,NA,19-Aug,103.9516458,1.37497,"pasir ris drive 3, singapore"
43,THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,2400,1000 to 1100,1050,NA,19-Aug,103.960135,1.3559002,"tampines street 34, singapore"
44,ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,4,2700,1400 to 1500,1450,NA,19-Aug,103.8936639,1.3815072,"compassvale bow, singapore"
45,PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,2600,1000 to 1100,1050,NA,19-Aug,103.9056655,1.3994718,"punggol field, singapore"
46,WATERBAY,EDGEFIELD PLAINS,19,Executive Condominium,3,2500,1000 to 1100,1050,NA,19-Aug,103.9090538,1.4008414,"edgefield plains, singapore"
47,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2650,1200 to 1300,1250,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
48,THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,2700,1300 to 1400,1350,NA,19-Aug,103.8982756,1.3677419,"hougang ave 7, singapore"
49,ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,2,2350,800 to 900,850,NA,19-Aug,103.8936639,1.3815072,"compassvale bow, singapore"
50,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2400,1300 to 1400,1350,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
51,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2300,1300 to 1400,1350,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
52,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2300,1200 to 1300,1250,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
53,THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,2200,1200 to 1300,1250,NA,19-Aug,103.8982756,1.3677419,"hougang ave 7, singapore"
54,THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8982756,1.3677419,"hougang ave 7, singapore"
55,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
56,PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,2700,1000 to 1100,1050,NA,19-Aug,103.9056655,1.3994718,"punggol field, singapore"
57,ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,3,2750,1000 to 1100,1050,NA,19-Aug,103.8936639,1.3815072,"compassvale bow, singapore"
58,ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,2,2500,800 to 900,850,NA,19-Aug,103.8936639,1.3815072,"compassvale bow, singapore"
59,ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,4,3200,1300 to 1400,1350,NA,19-Aug,103.8936639,1.3815072,"compassvale bow, singapore"
60,PRIVE,PUNGGOL FIELD,19,Executive Condominium,4,3600,1400 to 1500,1450,NA,19-Aug,103.9056655,1.3994718,"punggol field, singapore"
61,THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,2600,1300 to 1400,1350,NA,19-Aug,103.8982756,1.3677419,"hougang ave 7, singapore"
62,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2400,1300 to 1400,1350,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
63,PRIVE,PUNGGOL FIELD,19,Executive Condominium,4,3100,1400 to 1500,1450,NA,19-Aug,103.9056655,1.3994718,"punggol field, singapore"
64,PRIVE,PUNGGOL FIELD,19,Executive Condominium,2,2500,800 to 900,850,NA,19-Aug,103.9056655,1.3994718,"punggol field, singapore"
65,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2250,1300 to 1400,1350,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
66,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2650,1300 to 1400,1350,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
67,RIVERPARC RESIDENCE,PUNGGOL DRIVE,19,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.9113918,1.4031478,"punggol dr, singapore"
68,PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,2850,1000 to 1100,1050,NA,19-Aug,103.9056655,1.3994718,"punggol field, singapore"
69,PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,2650,1000 to 1100,1050,NA,19-Aug,103.9056655,1.3994718,"punggol field, singapore"
