"V1","V2","V3","V4","V5","V6","V7","V8","V9","lon","lat","address"
11,"EMERALD GARDEN","EMERALD GARDEN CLUB STREET Singapore",1,"Non-landed Properties","2",4400,"1200 to 1300","19-Aug","103.8463193","1.2823975","33 club st, singapore 069415"
12,"THE SPECTRUM","THE SPECTRUM PASIR PANJANG ROAD Singapore",5,"Non-landed Properties","3",3400,"1600 to 1700","19-Aug","103.7692598","1.2918335","505 pasir panjang rd singapore 117504 pasir panjang rd, singapore 117504"
13,"EMERALD GARDEN","EMERALD GARDEN CLUB STREET Singapore",1,"Non-landed Properties","2",3600,"900 to 1000","19-Aug","103.8463193","1.2823975","33 club st, singapore 069415"
14,"THE COAST AT SENTOSA COVE","THE COAST AT SENTOSA COVE OCEAN DRIVE Singapore",4,"Non-landed Properties","3",7000,"2000 to 2100","19-Aug","103.8436811","1.2454244","276-280 ocean dr, singapore 098451"
15,"THE ANCHORAGE","THE ANCHORAGE ALEXANDRA ROAD Singapore",3,"Non-landed Properties","2",3100,"1100 to 1200","19-Aug","103.804225","1.289831","370j alexandra rd, club house, singapore 159962"
16,"REGENT PARK","REGENT PARK JALAN LEMPENG Singapore",5,"Non-landed Properties","2",2600,"800 to 900","19-Aug","103.761539","1.3172516","22 jln lempeng, singapore 128803"
17,"MARINA ONE RESIDENCES","MARINA ONE RESIDENCES MARINA WAY Singapore",1,"Non-landed Properties","1",3500,"700 to 800","19-Aug","103.8532552","1.2768053","21/23 marina way, singapore 018979"
18,"HUNDRED TREES","HUNDRED TREES WEST COAST DRIVE Singapore",5,"Non-landed Properties","3",3500,"1100 to 1200","19-Aug","103.7586246","1.3149729","97 w coast dr, singapore 128019"
19,"COMMONWEALTH TOWERS","COMMONWEALTH TOWERS COMMONWEALTH AVENUE Singapore",3,"Non-landed Properties","1",2200,"400 to 500","19-Aug","103.8059102","1.295722","230 commonwealth ave, singapore 149739"
20,"SPOTTISWOODE RESIDENCES","SPOTTISWOODE RESIDENCES SPOTTISWOODE PARK ROAD Singapore",2,"Non-landed Properties","3",7500,"2400 to 2500","19-Aug","103.836827","1.2754812","48 spottiswoode park rd, singapore 088660"
21,"SPOTTISWOODE SUITES","SPOTTISWOODE SUITES SPOTTISWOODE PARK ROAD Singapore",2,"Non-landed Properties","3",3200,"700 to 800","19-Aug","103.8372833","1.2760041","16 spottiswoode park rd, singapore 088661"
22,"BOTANNIA","BOTANNIA WEST COAST PARK Singapore",5,"Non-landed Properties","2",2400,"800 to 900","19-Aug","103.7542884","1.3186051","27 w coast park, singapore 127720"
23,"THE TRILINQ","THE TRILINQ JALAN LEMPENG Singapore",5,"Non-landed Properties","2",3700,"1100 to 1200","19-Aug","103.7620397","1.3181105","28 jln lempeng, singapore 128807"
24,"THE FRANGIPANI","THE FRANGIPANI PASIR PANJANG ROAD Singapore",5,"Non-landed Properties","3",3200,"1300 to 1400","19-Aug","103.7701795","1.2920011","404 pasir panjang rd, singapore 118741"
25,"ONZE @ TANJONG PAGAR","ONZE @ TANJONG PAGAR KEE SENG STREET Singapore",2,"Non-landed Properties","1",3000,"500 to 600","19-Aug","103.8421186","1.2750074","11 kee seng st, singapore 089218"
26,"THE SAIL @ MARINA BAY","THE SAIL @ MARINA BAY MARINA BOULEVARD Singapore",1,"Non-landed Properties","3",7300,"1700 to 1800","19-Aug","103.8528642","1.2811005","2 marina blvd, singapore 018987"
27,"ONE-NORTH RESIDENCES","ONE-NORTH RESIDENCES ONE-NORTH GATEWAY Singapore",5,"Non-landed Properties","1",2900,"600 to 700","19-Aug","103.7899973","1.3026122","7-9 one-north gateway, singapore 138642"
28,"THE TRILINQ","THE TRILINQ JALAN LEMPENG Singapore",5,"Non-landed Properties","1",2350,"500 to 600","19-Aug","103.7620397","1.3181105","28 jln lempeng, singapore 128807"
29,"CARIBBEAN AT KEPPEL BAY","CARIBBEAN AT KEPPEL BAY KEPPEL BAY DRIVE Singapore",4,"Non-landed Properties","3",5300,"1200 to 1300","19-Aug","103.816757","1.267401","caribbean at keppel bay, singapore"
30,"BLUE HORIZON","BLUE HORIZON WEST COAST CRESCENT Singapore",5,"Non-landed Properties","2",2850,"900 to 1000","19-Aug","103.7652138","1.2974226","31 w coast cres, singapore 128050"
31,"HARBOUR VIEW TOWERS","HARBOUR VIEW TOWERS TELOK BLANGAH DRIVE Singapore",4,"Non-landed Properties","1",2550,"700 to 800","19-Aug","103.80848","1.271975","21 telok blangah dr, singapore 109258"
32,"REFLECTIONS AT KEPPEL BAY","REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW Singapore",4,"Non-landed Properties","2",4500,"1100 to 1200","19-Aug","103.81036","1.2666139","29 keppel bay view, singapore 098417"
33,"ONE-NORTH RESIDENCES","ONE-NORTH RESIDENCES ONE-NORTH GATEWAY Singapore",5,"Non-landed Properties","3",5700,"1400 to 1500","19-Aug","103.7899973","1.3026122","7-9 one-north gateway, singapore 138642"
