"V1","V2","V3","V4","V5","V6","V7","V8","V9","lon","lat","address"
34,"THE SAIL @ MARINA BAY","THE SAIL @ MARINA BAY MARINA BOULEVARD Singapore",1,"Non-landed Properties","2",5400,"900 to 1000","19-Aug","103.8528642","1.2811005","2 marina blvd, singapore 018987"
35,"THE CLEMENT CANOPY","THE CLEMENT CANOPY CLEMENTI AVENUE 1 Singapore",5,"Non-landed Properties","3",4000,"1100 to 1200","19-Aug","103.7684933","1.3073069","16 clementi ave 1, singapore 129960"
36,"THE INTERLACE","THE INTERLACE DEPOT ROAD Singapore",4,"Non-landed Properties","4",6850,"2000 to 2100","19-Aug","103.8034095","1.2825453","180 depot rd, singapore 109684"
37,"THE SAIL @ MARINA BAY","THE SAIL @ MARINA BAY MARINA BOULEVARD Singapore",1,"Non-landed Properties","2",3800,"800 to 900","19-Aug","103.8528642","1.2811005","2 marina blvd, singapore 018987"
38,"MARINA ONE RESIDENCES","MARINA ONE RESIDENCES MARINA WAY Singapore",1,"Non-landed Properties","3",8500,"1500 to 1600","19-Aug","103.8532552","1.2768053","21/23 marina way, singapore 018979"
39,"THE INTERLACE","THE INTERLACE DEPOT ROAD Singapore",4,"Non-landed Properties","3",6000,"1500 to 1600","19-Aug","103.8034095","1.2825453","180 depot rd, singapore 109684"
40,"ONE-NORTH RESIDENCES","ONE-NORTH RESIDENCES ONE-NORTH GATEWAY Singapore",5,"Non-landed Properties","1",2700,"500 to 600","19-Aug","103.7899973","1.3026122","7-9 one-north gateway, singapore 138642"
41,"REFLECTIONS AT KEPPEL BAY","REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW Singapore",4,"Non-landed Properties","3",9500,"1600 to 1700","19-Aug","103.81036","1.2666139","29 keppel bay view, singapore 098417"
42,"LUMIERE","LUMIERE MISTRI ROAD Singapore",2,"Non-landed Properties","1",3000,"600 to 700","19-Aug","103.8460734","1.2743105","2 mistri rd, singapore 079624"
43,"THE SAIL @ MARINA BAY","THE SAIL @ MARINA BAY MARINA BOULEVARD Singapore",1,"Non-landed Properties","2",4000,"800 to 900","19-Aug","103.8528642","1.2811005","2 marina blvd, singapore 018987"
44,"EMERALD GARDEN","EMERALD GARDEN CLUB STREET Singapore",1,"Non-landed Properties","2",4700,"1100 to 1200","19-Aug","103.8463193","1.2823975","33 club st, singapore 069415"
45,"ONE SHENTON","ONE SHENTON SHENTON WAY Singapore",1,"Non-landed Properties","1",3300,"500 to 600","19-Aug","103.8506866","1.2794528","singapore"
46,"SKYSUITES@ANSON","SKYSUITES@ANSON ENGGOR STREET Singapore",2,"Non-landed Properties","3",6600,"1100 to 1200","19-Aug","103.8447682","1.2744995","8 enggor st, singapore 079718"
47,"THE INTERLACE","THE INTERLACE DEPOT ROAD Singapore",4,"Non-landed Properties","4",9000,">3000","19-Aug","103.8034095","1.2825453","180 depot rd, singapore 109684"
48,"ALTEZ","ALTEZ ENGGOR STREET Singapore",2,"Non-landed Properties","2",5600,"800 to 900","19-Aug","103.8443152","1.2744288","16 enggor st, singapore 079717"
49,"ICON","ICON GOPENG STREET Singapore",2,"Non-landed Properties","1",3000,"500 to 600","19-Aug","103.8444743","1.2753422","10 gopeng st, singapore 078878"
50,"DOVER PARKVIEW","DOVER PARKVIEW DOVER RISE Singapore",5,"Non-landed Properties","2",2900,"900 to 1000","19-Aug","103.7847371","1.3057405","38 dover rise, singapore 138684"
51,"SPOTTISWOODE SUITES","SPOTTISWOODE SUITES SPOTTISWOODE PARK ROAD Singapore",2,"Non-landed Properties","1",2500,"400 to 500","19-Aug","103.8372833","1.2760041","16 spottiswoode park rd, singapore 088661"
52,"CARIBBEAN AT KEPPEL BAY","CARIBBEAN AT KEPPEL BAY KEPPEL BAY DRIVE Singapore",4,"Non-landed Properties","3",5100,"1200 to 1300","19-Aug","103.816757","1.267401","caribbean at keppel bay, singapore"
53,"CAPE ROYALE","CAPE ROYALE COVE WAY Singapore",4,"Non-landed Properties","3",7300,"1900 to 2000","19-Aug","103.8400218","1.241711","25 cove way, singapore 098209"
54,"VIVA VISTA","VIVA VISTA SOUTH BUONA VISTA ROAD Singapore",5,"Non-landed Properties","1",2200,"700 to 800","19-Aug","103.7863783","1.2798812","3 south buona vista rd, singapore 118136"
55,"HUNDRED TREES","HUNDRED TREES WEST COAST DRIVE Singapore",5,"Non-landed Properties","2",3000,"900 to 1000","19-Aug","103.7586246","1.3149729","97 w coast dr, singapore 128019"
56,"EON SHENTON","EON SHENTON SHENTON WAY Singapore",2,"Non-landed Properties","3",4900,"700 to 800","19-Aug","103.846216","1.2739069","70 shenton way, #18-15, singapore 079118"
57,"SKYSUITES@ANSON","SKYSUITES@ANSON ENGGOR STREET Singapore",2,"Non-landed Properties","2",4700,"600 to 700","19-Aug","103.8447682","1.2744995","8 enggor st, singapore 079718"
58,"SEAHILL","SEAHILL WEST COAST CRESCENT Singapore",5,"Non-landed Properties","1",2500,"700 to 800","19-Aug","103.764461","1.298753","119 w coast cres, singapore 126777"
59,"VIVA VISTA","VIVA VISTA SOUTH BUONA VISTA ROAD Singapore",5,"Non-landed Properties","1",2000,"300 to 400","19-Aug","103.7863783","1.2798812","3 south buona vista rd, singapore 118136"
60,"THE TRILINQ","THE TRILINQ JALAN LEMPENG Singapore",5,"Non-landed Properties","3",3700,"900 to 1000","19-Aug","103.7620397","1.3181105","28 jln lempeng, singapore 128807"
61,"CRAIG PLACE","CRAIG PLACE CRAIG ROAD Singapore",2,"Non-landed Properties","1",2650,"500 to 600","19-Aug","103.8422196","1.2779703","craig rd, singapore"
62,"TIONG BAHRU ESTATE","TIONG BAHRU ESTATE TIONG POH ROAD Singapore",3,"Non-landed Properties","na*",2700,"800 to 900","19-Aug","103.8346032","1.2842263","tiong bahru rd & tiong poh rd, singapore"
63,"THE CREST","THE CREST PRINCE CHARLES CRESCENT Singapore",3,"Non-landed Properties","3",4500,"1000 to 1100","19-Aug","103.8199941","1.2933265","107 prince charles cres, singapore 159017"
64,"THE CLEMENT CANOPY","THE CLEMENT CANOPY CLEMENTI AVENUE 1 Singapore",5,"Non-landed Properties","2",2650,"600 to 700","19-Aug","103.7684933","1.3073069","16 clementi ave 1, singapore 129960"
65,"THE CREST","THE CREST PRINCE CHARLES CRESCENT Singapore",3,"Non-landed Properties","3",5500,"1200 to 1300","19-Aug","103.8199941","1.2933265","107 prince charles cres, singapore 159017"
66,"SEASUITES","SEASUITES PASIR PANJANG ROAD Singapore",5,"Non-landed Properties","2",2900,"800 to 900","19-Aug","103.7829625","1.2822155","252 pasir panjang rd, singapore 118617"
67,"PASIR VIEW PARK","PASIR VIEW PARK PASIR PANJANG ROAD Singapore",5,"Non-landed Properties","3",3500,"1300 to 1400","19-Aug","103.7875629","1.2789062","200 pasir panjang rd, singapore 118571"
68,"THE PARC CONDOMINIUM","THE PARC CONDOMINIUM WEST COAST WALK Singapore",5,"Non-landed Properties","3",3500,"1200 to 1300","19-Aug","103.7618377","1.3103718","1-15 w coast walk, singapore 127140"
69,"ALTEZ","ALTEZ ENGGOR STREET Singapore",2,"Non-landed Properties","2",6000,"1000 to 1100","19-Aug","103.8443152","1.2744288","16 enggor st, singapore 079717"
70,"FABER CREST","FABER CREST FABER HEIGHTS Singapore",5,"Non-landed Properties","3",2900,"1200 to 1300","19-Aug","103.7570799","1.3226717","faber heights, singapore"
71,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE","THE RESIDENCES AT W SINGAPORE SENTOSA COVE OCEAN WAY Singapore",4,"Non-landed Properties","4",9100,"2000 to 2100","19-Aug","103.842491","1.2461105","21 ocean way, singapore 098374"
72,"THE COAST AT SENTOSA COVE","THE COAST AT SENTOSA COVE OCEAN DRIVE Singapore",4,"Non-landed Properties","3",7200,"2000 to 2100","19-Aug","103.8436811","1.2454244","276-280 ocean dr, singapore 098451"
73,"SKYSUITES@ANSON","SKYSUITES@ANSON ENGGOR STREET Singapore",2,"Non-landed Properties","2",4000,"700 to 800","19-Aug","103.8447682","1.2744995","8 enggor st, singapore 079718"
74,"MARINA ONE RESIDENCES","MARINA ONE RESIDENCES MARINA WAY Singapore",1,"Non-landed Properties","1",3700,"600 to 700","19-Aug","103.8532552","1.2768053","21/23 marina way, singapore 018979"
75,"CAPE ROYALE","CAPE ROYALE COVE WAY Singapore",4,"Non-landed Properties","3",6600,"1900 to 2000","19-Aug","103.8400218","1.241711","25 cove way, singapore 098209"
76,"SPOTTISWOODE 18","SPOTTISWOODE 18 SPOTTISWOODE PARK ROAD Singapore",2,"Non-landed Properties","1",2300,"300 to 400","19-Aug","103.8375907","1.2754518","18 spottiswoode park rd, singapore 088642"
77,"EON SHENTON","EON SHENTON SHENTON WAY Singapore",2,"Non-landed Properties","2",5000,"600 to 700","19-Aug","103.846216","1.2739069","70 shenton way, #18-15, singapore 079118"
78,"VIVA VISTA","VIVA VISTA SOUTH BUONA VISTA ROAD Singapore",5,"Non-landed Properties","1",2000,"300 to 400","19-Aug","103.7863783","1.2798812","3 south buona vista rd, singapore 118136"
79,"EON SHENTON","EON SHENTON SHENTON WAY Singapore",2,"Non-landed Properties","2",3500,"500 to 600","19-Aug","103.846216","1.2739069","70 shenton way, #18-15, singapore 079118"
80,"BANYAN CONDOMINIUM","BANYAN CONDOMINIUM CHWEE CHIAN ROAD Singapore",5,"Non-landed Properties","na*",3508,"1800 to 1900","19-Aug","103.7883466","1.2780251","1 chwee chian rd, singapore 119744"
81,"EON SHENTON","EON SHENTON SHENTON WAY Singapore",2,"Non-landed Properties","2",2900,"500 to 600","19-Aug","103.846216","1.2739069","70 shenton way, #18-15, singapore 079118"
82,"ALLAN VILLE","ALLAN VILLE GEMMILL LANE Singapore",1,"Non-landed Properties","na*",2500,"600 to 700","19-Aug","103.8474977","1.2824075","gemmill ln, singapore"
83,"COMMONWEALTH TOWERS","COMMONWEALTH TOWERS COMMONWEALTH AVENUE Singapore",3,"Non-landed Properties","1",2500,"400 to 500","19-Aug","103.8059102","1.295722","230 commonwealth ave, singapore 149739"
84,"MARINA ONE RESIDENCES","MARINA ONE RESIDENCES MARINA WAY Singapore",1,"Non-landed Properties","1",3700,"700 to 800","19-Aug","103.8532552","1.2768053","21/23 marina way, singapore 018979"
85,"DOVER PARKVIEW","DOVER PARKVIEW DOVER RISE Singapore",5,"Non-landed Properties","2",3100,"900 to 1000","19-Aug","103.7847371","1.3057405","38 dover rise, singapore 138684"
86,"VARSITY PARK CONDOMINIUM","VARSITY PARK CONDOMINIUM WEST COAST ROAD Singapore",5,"Non-landed Properties","3",6000,"1600 to 1700","19-Aug","103.7671539","1.2943717","22-76 west coast rd, singapore 127446"
87,"THE INTERLACE","THE INTERLACE DEPOT ROAD Singapore",4,"Non-landed Properties","3",6300,"1900 to 2000","19-Aug","103.8034095","1.2825453","180 depot rd, singapore 109684"
88,"REFLECTIONS AT KEPPEL BAY","REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW Singapore",4,"Non-landed Properties","4",14000,">3000","19-Aug","103.81036","1.2666139","29 keppel bay view, singapore 098417"
89,"REFLECTIONS AT KEPPEL BAY","REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW Singapore",4,"Non-landed Properties","3",7000,"1600 to 1700","19-Aug","103.81036","1.2666139","29 keppel bay view, singapore 098417"
90,"SEAHILL","SEAHILL WEST COAST CRESCENT Singapore",5,"Non-landed Properties","na*",2250,"500 to 600","19-Aug","103.764461","1.298753","119 w coast cres, singapore 126777"
91,"REFLECTIONS AT KEPPEL BAY","REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW Singapore",4,"Non-landed Properties","3",6000,"1300 to 1400","19-Aug","103.81036","1.2666139","29 keppel bay view, singapore 098417"
92,"DORSETT RESIDENCES","DORSETT RESIDENCES NEW BRIDGE ROAD Singapore",2,"Non-landed Properties","2",3800,"600 to 700","19-Aug","103.840535","1.280463","331 new bridge rd, dorsett residences, singapore 088764"
93,"THE PARC CONDOMINIUM","THE PARC CONDOMINIUM WEST COAST WALK Singapore",5,"Non-landed Properties","3",3400,"1200 to 1300","19-Aug","103.7618377","1.3103718","1-15 w coast walk, singapore 127140"
94,"SKYSUITES@ANSON","SKYSUITES@ANSON ENGGOR STREET Singapore",2,"Non-landed Properties","2",4000,"600 to 700","19-Aug","103.8447682","1.2744995","8 enggor st, singapore 079718"
95,"THE METROPOLITAN CONDOMINIUM","THE METROPOLITAN CONDOMINIUM ALEXANDRA VIEW Singapore",3,"Non-landed Properties","2",3050,"700 to 800","19-Aug","103.816244","1.2906664","8 alexandra view, singapore 158747"
96,"EON SHENTON","EON SHENTON SHENTON WAY Singapore",2,"Non-landed Properties","2",3400,"500 to 600","19-Aug","103.846216","1.2739069","70 shenton way, #18-15, singapore 079118"
97,"SPOTTISWOODE 18","SPOTTISWOODE 18 SPOTTISWOODE PARK ROAD Singapore",2,"Non-landed Properties","1",2900,"700 to 800","19-Aug","103.8375907","1.2754518","18 spottiswoode park rd, singapore 088642"
98,"THE MAYLEA","THE MAYLEA PASIR PANJANG ROAD Singapore",5,"Non-landed Properties","2",3200,"900 to 1000","19-Aug","103.7852945","1.2806728","242k pasir panjang rd, singapore 117489"
99,"THE ESTRELLA","THE ESTRELLA PASIR PANJANG ROAD Singapore",5,"Non-landed Properties","3",3300,"1100 to 1200","19-Aug","103.7766658","1.2895443","342 pasir panjang rd, singapore 118676"
100,"THE TRILINQ","THE TRILINQ JALAN LEMPENG Singapore",5,"Non-landed Properties","2",3200,"1100 to 1200","19-Aug","103.7620397","1.3181105","28 jln lempeng, singapore 128807"
101,"THE INTERLACE","THE INTERLACE DEPOT ROAD Singapore",4,"Non-landed Properties","4",7200,"2300 to 2400","19-Aug","103.8034095","1.2825453","180 depot rd, singapore 109684"
102,"ONE-NORTH RESIDENCES","ONE-NORTH RESIDENCES ONE-NORTH GATEWAY Singapore",5,"Non-landed Properties","2",3800,"1000 to 1100","19-Aug","103.7899973","1.3026122","7-9 one-north gateway, singapore 138642"
103,"CENTRAL GREEN CONDOMINIUM","CENTRAL GREEN CONDOMINIUM JALAN MEMBINA Singapore",3,"Non-landed Properties","2",3000,"700 to 800","19-Aug","103.8276716","1.2845906","1 jln membina, singapore 169479"
104,"ROBINSON SUITES","ROBINSON SUITES ROBINSON ROAD Singapore",1,"Non-landed Properties","1",2900,"400 to 500","19-Aug","103.8498409","1.2810504","50 robinson rd, singapore 068882"
105,"CAPE ROYALE","CAPE ROYALE COVE WAY Singapore",4,"Non-landed Properties","4",10800,"2500 to 2600","19-Aug","103.8400218","1.241711","25 cove way, singapore 098209"
106,"HUNDRED TREES","HUNDRED TREES WEST COAST DRIVE Singapore",5,"Non-landed Properties","2",2500,"700 to 800","19-Aug","103.7586246","1.3149729","97 w coast dr, singapore 128019"
107,"THE ANCHORAGE","THE ANCHORAGE ALEXANDRA ROAD Singapore",3,"Non-landed Properties","3",4000,"1400 to 1500","19-Aug","103.804225","1.289831","370j alexandra rd, club house, singapore 159962"
108,"THE COAST AT SENTOSA COVE","THE COAST AT SENTOSA COVE OCEAN DRIVE Singapore",4,"Non-landed Properties","3",6500,"2000 to 2100","19-Aug","103.8436811","1.2454244","276-280 ocean dr, singapore 098451"
109,"THE SAIL @ MARINA BAY","THE SAIL @ MARINA BAY MARINA BOULEVARD Singapore",1,"Non-landed Properties","1",3400,"600 to 700","19-Aug","103.8528642","1.2811005","2 marina blvd, singapore 018987"
110,"REGENT PARK","REGENT PARK JALAN LEMPENG Singapore",5,"Non-landed Properties","2",2400,"800 to 900","19-Aug","103.761539","1.3172516","22 jln lempeng, singapore 128803"
111,"QUEENS","QUEENS STIRLING ROAD Singapore",3,"Non-landed Properties","3",4400,"1100 to 1200","19-Aug","103.80624","1.293043","12 stirling rd, singapore 148955"
112,"SEASCAPE","SEASCAPE COVE WAY Singapore",4,"Non-landed Properties","3",7430,"2100 to 2200","19-Aug","103.8373614","1.2398622","57 cove way, singapore 098308"
113,"THE INFINITI","THE INFINITI WEST COAST PARK Singapore",5,"Non-landed Properties","3",3000,"1200 to 1300","19-Aug","103.7553921","1.3191037","39d w coast park, singapore 127715"
114,"THE BERTH BY THE COVE","THE BERTH BY THE COVE OCEAN DRIVE Singapore",4,"Non-landed Properties","5",9000,">3000","19-Aug","103.8466605","1.2499202","212 ocean dr, singapore 098624"
115,"REFLECTIONS AT KEPPEL BAY","REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW Singapore",4,"Non-landed Properties","2",5350,"1100 to 1200","19-Aug","103.81036","1.2666139","29 keppel bay view, singapore 098417"
116,"DOVER PARKVIEW","DOVER PARKVIEW DOVER RISE Singapore",5,"Non-landed Properties","2",3100,"900 to 1000","19-Aug","103.7847371","1.3057405","38 dover rise, singapore 138684"
117,"MARINA BAY SUITES","MARINA BAY SUITES CENTRAL BOULEVARD Singapore",1,"Non-landed Properties","4",9000,"2000 to 2100","19-Aug","103.8521059","1.2803892","3 central blvd, singapore 018965"
118,"HERITAGE VIEW","HERITAGE VIEW DOVER RISE Singapore",5,"Non-landed Properties","3",4600,"1100 to 1200","19-Aug","103.783899","1.3037596","6, 10 dover rise, 8, singapore 138678"
119,"INTERNATIONAL PLAZA","INTERNATIONAL PLAZA ANSON ROAD Singapore",2,"Non-landed Properties","na*",4400,"1400 to 1500","19-Aug","103.8458098","1.2756998","10 anson rd, international plaza, singapore 079903"
120,"REGENT PARK","REGENT PARK JALAN LEMPENG Singapore",5,"Non-landed Properties","3",3000,"1100 to 1200","19-Aug","103.761539","1.3172516","22 jln lempeng, singapore 128803"
121,"TIONG BAHRU ESTATE","TIONG BAHRU ESTATE TIONG POH ROAD Singapore",3,"Non-landed Properties","na*",3900,"1000 to 1100","19-Aug","103.8346032","1.2842263","tiong bahru rd & tiong poh rd, singapore"
122,"THE SORRENTO","THE SORRENTO WEST COAST ROAD Singapore",5,"Non-landed Properties","1",2150,"400 to 500","19-Aug","103.7661814","1.2956598","55 west coast rd, singapore 127365"
123,"ALEXIS","ALEXIS ALEXANDRA ROAD Singapore",3,"Non-landed Properties","2",2700,"800 to 900","19-Aug","103.8074006","1.2913174","356 alexandra rd, singapore 159949"
124,"THE CLEMENT CANOPY","THE CLEMENT CANOPY CLEMENTI AVENUE 1 Singapore",5,"Non-landed Properties","2",2800,"600 to 700","19-Aug","103.7684933","1.3073069","16 clementi ave 1, singapore 129960"
125,"CARIBBEAN AT KEPPEL BAY","CARIBBEAN AT KEPPEL BAY KEPPEL BAY DRIVE Singapore",4,"Non-landed Properties","3",6500,"1600 to 1700","19-Aug","103.816757","1.267401","caribbean at keppel bay, singapore"
126,"ICON","ICON GOPENG STREET Singapore",2,"Non-landed Properties","1",3350,"600 to 700","19-Aug","103.8444743","1.2753422","10 gopeng st, singapore 078878"
127,"ASCENTIA SKY","ASCENTIA SKY ALEXANDRA VIEW Singapore",3,"Non-landed Properties","4",5700,"1800 to 1900","19-Aug","103.8170665","1.2908094","1 alexandra view, #b1-01, singapore 158748"
128,"THE SAIL @ MARINA BAY","THE SAIL @ MARINA BAY MARINA BOULEVARD Singapore",1,"Non-landed Properties","4",8500,"2100 to 2200","19-Aug","103.8528642","1.2811005","2 marina blvd, singapore 018987"
129,"COMMONWEALTH TOWERS","COMMONWEALTH TOWERS COMMONWEALTH AVENUE Singapore",3,"Non-landed Properties","2",3200,"700 to 800","19-Aug","103.8059102","1.295722","230 commonwealth ave, singapore 149739"
130,"THE INTERLACE","THE INTERLACE DEPOT ROAD Singapore",4,"Non-landed Properties","3",5100,"1400 to 1500","19-Aug","103.8034095","1.2825453","180 depot rd, singapore 109684"
131,"MARINA COLLECTION","MARINA COLLECTION COVE DRIVE Singapore",4,"Non-landed Properties","4",8000,"2100 to 2200","19-Aug","103.8391369","1.242889","13 cove dr, singapore 098327"
132,"REFLECTIONS AT KEPPEL BAY","REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW Singapore",4,"Non-landed Properties","2",4000,"1000 to 1100","19-Aug","103.81036","1.2666139","29 keppel bay view, singapore 098417"
133,"COMMONWEALTH TOWERS","COMMONWEALTH TOWERS COMMONWEALTH AVENUE Singapore",3,"Non-landed Properties","1",2500,"400 to 500","19-Aug","103.8059102","1.295722","230 commonwealth ave, singapore 149739"
134,"HIGHLINE RESIDENCES","HIGHLINE RESIDENCES KIM TIAN ROAD Singapore",3,"Non-landed Properties","1",3000,"500 to 600","19-Aug","103.8298123","1.2851558","9 kim tian rd, highline residences, singapore 168593"
135,"TANGLIN VIEW","TANGLIN VIEW PRINCE CHARLES CRESCENT Singapore",3,"Non-landed Properties","3",3500,"1100 to 1200","19-Aug","103.8179582","1.2921945","prince charles cres, tanglin view, singapore 159012"
136,"MARINA ONE RESIDENCES","MARINA ONE RESIDENCES MARINA WAY Singapore",1,"Non-landed Properties","1",3500,"700 to 800","19-Aug","103.8532552","1.2768053","21/23 marina way, singapore 018979"
137,"THE CLEMENT CANOPY","THE CLEMENT CANOPY CLEMENTI AVENUE 1 Singapore",5,"Non-landed Properties","4",4700,"1300 to 1400","19-Aug","103.7684933","1.3073069","16 clementi ave 1, singapore 129960"
138,"FRAGRANCE COURT","FRAGRANCE COURT YEW SIANG ROAD Singapore",5,"Non-landed Properties","3",3200,"1400 to 1500","19-Aug","103.7927371","1.2772969","12 yew siang rd, singapore 117752"
139,"WEST BAY CONDOMINIUM","WEST BAY CONDOMINIUM WEST COAST CRESCENT Singapore",5,"Non-landed Properties","2",2400,"900 to 1000","19-Aug","103.76545","1.298893","60 w coast cres, 50, singapore 128040"
140,"THE CLEMENT CANOPY","THE CLEMENT CANOPY CLEMENTI AVENUE 1 Singapore",5,"Non-landed Properties","2",2650,"600 to 700","19-Aug","103.7684933","1.3073069","16 clementi ave 1, singapore 129960"
141,"ICON","ICON GOPENG STREET Singapore",2,"Non-landed Properties","1",3000,"500 to 600","19-Aug","103.8444743","1.2753422","10 gopeng st, singapore 078878"
142,"PASIR VIEW PARK","PASIR VIEW PARK PASIR PANJANG ROAD Singapore",5,"Non-landed Properties","2",2900,"900 to 1000","19-Aug","103.7875629","1.2789062","200 pasir panjang rd, singapore 118571"
143,"TIONG BAHRU ESTATE","TIONG BAHRU ESTATE GUAN CHUAN STREET Singapore",3,"Non-landed Properties","na*",3200,"1000 to 1100","19-Aug","103.8311238","1.283367","78 guan chuan st, no.41 blk, singapore 160078"
144,"EMERALD GARDEN","EMERALD GARDEN CLUB STREET Singapore",1,"Non-landed Properties","2",3700,"1000 to 1100","19-Aug","103.8463193","1.2823975","33 club st, singapore 069415"
145,"THE PARC CONDOMINIUM","THE PARC CONDOMINIUM WEST COAST WALK Singapore",5,"Non-landed Properties","3",3500,"1200 to 1300","19-Aug","103.7618377","1.3103718","1-15 w coast walk, singapore 127140"
