"V1","V2","V3","V4","V5","V6","V7","V8","V9","lon","lat","address"
20011,"JERVOIS REGENCY","JERVOIS REGENCY JERVOIS ROAD Singapore",10,"Non-landed Properties","3",3800,"2400 to 2500","19-Jun","103.8219637","1.2944727","49 jervois rd, jervois regency, singapore 249081"
20012,"STARLIGHT SUITES","STARLIGHT SUITES RIVER VALLEY CLOSE Singapore",9,"Non-landed Properties","3",7200,"1800 to 1900","19-Jun","103.8371893","1.2938161","11 river valley cl, singapore 238437"
20013,"SPANISH VILLAGE","SPANISH VILLAGE FARRER ROAD Singapore",10,"Non-landed Properties","3",3700,"1500 to 1600","19-Jun","103.80574","1.315525","spanish village, singapore"
20014,"OUE TWIN PEAKS","OUE TWIN PEAKS LEONIE HILL ROAD Singapore",9,"Non-landed Properties","2",6700,"1000 to 1100","19-Jun","103.8337783","1.2994363","33 leonie hill rd, singapore 239197"
20015,"D'LEEDON","D'LEEDON LEEDON HEIGHTS Singapore",10,"Non-landed Properties","3",7100,"1700 to 1800","19-Jun","103.8036039","1.3151717","7 leedon heights, singapore"
20016,"CITY SQUARE RESIDENCES","CITY SQUARE RESIDENCES KITCHENER LINK Singapore",8,"Non-landed Properties","3",3850,"1200 to 1300","19-Jun","103.8574666","1.3105599","4 kitchener link, singapore 208539"
20017,"NOUVEL 18","NOUVEL 18 ANDERSON ROAD Singapore",10,"Non-landed Properties","4",13800,"2800 to 2900","19-Jun","103.8281044","1.3110553","18 anderson rd, singapore 259977"
20018,"LEONIE CONDOTEL","LEONIE CONDOTEL LEONIE HILL ROAD Singapore",9,"Non-landed Properties","4",8664,"2700 to 2800","19-Jun","103.8339736","1.2970353","2 leonie hill rd, singapore 239192"
20019,"SHANGRI-LA RESIDENCES","SHANGRI-LA RESIDENCES LADY HILL ROAD Singapore",10,"Non-landed Properties","na*",9467,"1600 to 1700","19-Jun","103.8253016","1.31074","1a lady hill rd, singapore 258685"
20020,"PARC EMILY","PARC EMILY MOUNT EMILY ROAD Singapore",9,"Non-landed Properties","2",4000,"1000 to 1100","19-Jun","103.848768","1.3043618","5 mount emily rd, singapore 228490"
20021,"THE RISE @ OXLEY - RESIDENCES","THE RISE @ OXLEY - RESIDENCES OXLEY RISE Singapore",9,"Non-landed Properties","2",3350,"600 to 700","19-Jun","103.8430585","1.2974286","73 oxley rise, singapore 238699"
20022,"CAVENAGH GARDENS","CAVENAGH GARDENS CAVENAGH ROAD Singapore",9,"Non-landed Properties","3",2500,"1200 to 1300","19-Jun","103.8408371","1.3055898","69 cavenagh rd, singapore 229622"
20023,"CITYSCAPE @FARRER PARK","CITYSCAPE @FARRER PARK MERGUI ROAD Singapore",8,"Non-landed Properties","2",3200,"1100 to 1200","19-Jun","103.8512795","1.3177793","101 mergui rd, singapore 219067"
20024,"THE BOUTIQ","THE BOUTIQ KILLINEY ROAD Singapore",9,"Non-landed Properties","1",3000,"500 to 600","19-Jun","103.8386086","1.296614","143 killiney rd, singapore 239573"
20025,"THE TATE RESIDENCES","THE TATE RESIDENCES CLAYMORE ROAD Singapore",9,"Non-landed Properties","3",9000,"1800 to 1900","19-Jun","103.8305293","1.3081616","21 claymore rd, singapore 229545"
20026,"CITY SQUARE RESIDENCES","CITY SQUARE RESIDENCES KITCHENER LINK Singapore",8,"Non-landed Properties","2",3000,"800 to 900","19-Jun","103.8574666","1.3105599","4 kitchener link, singapore 208539"
20027,"THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL","THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL CAIRNHILL ROAD Singapore",9,"Non-landed Properties","3",15000,"2800 to 2900","19-Jun","103.836064","1.3079925","65 cairnhill rd, singapore 229721"
20028,"VICTORIA APARTMENTS","VICTORIA APARTMENTS KITCHENER ROAD Singapore",8,"Non-landed Properties","4",3500,"1500 to 1600","19-Jun","103.8573824","1.3097324","kitchener rd, singapore"
20029,"NON-LANDED HOUSING DEVELOPMENT","NON-LANDED HOUSING DEVELOPMENT HOOT KIAM ROAD Singapore",10,"Non-landed Properties","na*",3000,"1200 to 1300","19-Jun","103.8300751","1.2976827","hoot kiam rd, singapore"
20030,"OXLEY GARDEN","OXLEY GARDEN OXLEY GARDEN Singapore",9,"Non-landed Properties","3",4200,"1600 to 1700","19-Jun","103.8422435","1.2978663","oxley garden, singapore"
20031,"DUO RESIDENCES","DUO RESIDENCES FRASER STREET Singapore",7,"Non-landed Properties","1",3600,"600 to 700","19-Jun","103.8583668","1.3003631","1 fraser st, singapore 189350"
20032,"CITY GATE","CITY GATE BEACH ROAD Singapore",7,"Non-landed Properties","2",3300,"500 to 600","19-Jun","103.8622013","1.3023747","371 beach rd, singapore 199597"
20033,"THE BENCOOLEN","THE BENCOOLEN BENCOOLEN STREET Singapore",7,"Non-landed Properties","2",3150,"800 to 900","19-Jun","103.8512344","1.2999722","bencoolen st, singapore"
20034,"THE SOLITAIRE","THE SOLITAIRE BALMORAL PARK Singapore",10,"Non-landed Properties","4",7750,"2200 to 2300","19-Jun","103.827273","1.315065","5a balmoral park, singapore 259829"
20035,"CITY GATE","CITY GATE BEACH ROAD Singapore",7,"Non-landed Properties","1",2800,"400 to 500","19-Jun","103.8622013","1.3023747","371 beach rd, singapore 199597"
20036,"REGENCY PARK","REGENCY PARK NATHAN ROAD Singapore",10,"Non-landed Properties","3",8650,">3000","19-Jun","103.8258595","1.2968688","3 nathan rd, singapore 248726"
20037,"KUM HING COURT","KUM HING COURT TOMLINSON ROAD Singapore",10,"Non-landed Properties","na*",3200,"1600 to 1700","19-Jun","103.8260216","1.3028799","28 tomlinson rd, singapore 247854"
20038,"SOUTH BEACH RESIDENCES","SOUTH BEACH RESIDENCES BEACH ROAD Singapore",7,"Non-landed Properties","4",18000,"2600 to 2700","19-Jun","103.8557465","1.2940548","28 beach rd, singapore 189768"
20039,"SCOTTS SQUARE","SCOTTS SQUARE SCOTTS ROAD Singapore",9,"Non-landed Properties","2",7000,"800 to 900","19-Jun","103.8329553","1.3058809","6 scotts rd, singapore 228209"
20040,"LIV ON WILKIE","LIV ON WILKIE WILKIE TERRACE Singapore",9,"Non-landed Properties","2",2500,"500 to 600","19-Jun","103.8488052","1.3025645","wilkie terrace, singapore"
20041,"THE INSPIRA","THE INSPIRA ARNASALAM CHETTY ROAD Singapore",9,"Non-landed Properties","3",5700,"1200 to 1300","19-Jun","103.8387522","1.2917894","11 arnasalam chetty rd, singapore 239949"
