S/N,Building/Project Name,StreetName,Postal District,Type,No. of Bedroom,Monthly Gross Rent($),Floor Area (sq ft),Mean Floor Area (sq ft),Category,Date
54,THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
55,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
56,PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,2700,1000 to 1100,1050,,19-Aug
57,ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,3,2750,1000 to 1100,1050,,19-Aug
58,ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,2,2500,800 to 900,850,,19-Aug
59,ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,4,3200,1300 to 1400,1350,,19-Aug
60,PRIVE,PUNGGOL FIELD,19,Executive Condominium,4,3600,1400 to 1500,1450,,19-Aug
61,THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,2600,1300 to 1400,1350,,19-Aug
62,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2400,1300 to 1400,1350,,19-Aug
63,PRIVE,PUNGGOL FIELD,19,Executive Condominium,4,3100,1400 to 1500,1450,,19-Aug
64,PRIVE,PUNGGOL FIELD,19,Executive Condominium,2,2500,800 to 900,850,,19-Aug
65,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2250,1300 to 1400,1350,,19-Aug
66,THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,2650,1300 to 1400,1350,,19-Aug
67,RIVERPARC RESIDENCE,PUNGGOL DRIVE,19,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
68,PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,2850,1000 to 1100,1050,,19-Aug
69,PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,2650,1000 to 1100,1050,,19-Aug
70,PARK GREEN,RIVERVALE LINK,19,Executive Condominium,3,2500,1300 to 1400,1350,,19-Aug
71,PARK GREEN,RIVERVALE LINK,19,Executive Condominium,3,2700,1300 to 1400,1350,,19-Aug
72,THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
73,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2725,1400 to 1500,1450,,19-Aug
74,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2900,1300 to 1400,1350,,19-Aug
75,BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,3,3150,1100 to 1200,1150,,19-Aug
76,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2900,1400 to 1500,1450,,19-Aug
77,BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,4,4200,1400 to 1500,1450,,19-Aug
78,BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,3,3400,1300 to 1400,1350,,19-Aug
79,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2800,1200 to 1300,1250,,19-Aug
